sample_id,correct_control,correct_candidate,experiment,transition
train_0787,False,True,Z-F3,wrong_to_right
train_0788,False,False,Z-F3,unchanged
train_0789,True,True,Z-F3,unchanged
train_0790,False,True,Z-F3,wrong_to_right
train_0810,False,False,Z-F3,unchanged
train_0811,True,True,Z-F3,unchanged
train_0812,True,True,Z-F3,unchanged
train_0816,False,False,Z-F3,unchanged
train_0817,True,True,Z-F3,unchanged
train_0818,True,True,Z-F3,unchanged
train_0830,False,False,Z-F3,unchanged
train_0831,True,True,Z-F3,unchanged
train_0832,True,True,Z-F3,unchanged
train_0842,False,False,Z-F3,unchanged
train_0843,True,True,Z-F3,unchanged
train_0858,True,True,Z-F3,unchanged
train_0859,False,False,Z-F3,unchanged
train_0864,False,True,Z-F3,wrong_to_right
train_0865,False,False,Z-F3,unchanged
train_0866,False,False,Z-F3,unchanged
train_0867,True,True,Z-F3,unchanged
train_0912,False,False,Z-F3,unchanged
train_0913,False,True,Z-F3,wrong_to_right
train_0914,False,False,Z-F3,unchanged
train_0915,True,True,Z-F3,unchanged
train_0916,True,True,Z-F3,unchanged
train_0917,False,True,Z-F3,wrong_to_right
train_0933,True,True,Z-F3,unchanged
train_0934,False,False,Z-F3,unchanged
train_0943,False,False,Z-F3,unchanged
train_0944,False,True,Z-F3,wrong_to_right
train_0949,True,False,Z-F3,right_to_wrong
train_0950,False,False,Z-F3,unchanged
train_0951,False,False,Z-F3,unchanged
train_0952,True,True,Z-F3,unchanged
train_0959,False,False,Z-F3,unchanged
train_0960,False,False,Z-F3,unchanged
train_0969,False,False,Z-F3,unchanged
train_0970,False,False,Z-F3,unchanged
train_0991,False,False,Z-F3,unchanged
train_0992,True,True,Z-F3,unchanged
train_1003,True,True,Z-F3,unchanged
train_1004,False,True,Z-F3,wrong_to_right
train_1007,True,True,Z-F3,unchanged
train_1008,False,False,Z-F3,unchanged
train_1015,False,False,Z-F3,unchanged
train_1016,True,True,Z-F3,unchanged
train_1038,True,False,Z-F3,right_to_wrong
train_1039,True,True,Z-F3,unchanged
train_1044,False,False,Z-F3,unchanged
train_1048,True,True,Z-F3,unchanged
train_1049,False,False,Z-F3,unchanged
train_1052,True,True,Z-F3,unchanged
train_1053,True,True,Z-F3,unchanged
train_1069,True,True,Z-F3,unchanged
train_1070,False,False,Z-F3,unchanged
train_1072,True,True,Z-F3,unchanged
train_1088,False,False,Z-F3,unchanged
train_1089,False,False,Z-F3,unchanged
train_1094,True,True,Z-F3,unchanged
train_1095,False,True,Z-F3,wrong_to_right
train_1112,True,True,Z-F3,unchanged
train_1113,False,False,Z-F3,unchanged
train_1118,False,False,Z-F3,unchanged
train_1119,False,False,Z-F3,unchanged
train_1120,True,True,Z-F3,unchanged
train_1121,True,True,Z-F3,unchanged
train_1124,False,True,Z-F3,wrong_to_right
train_1125,False,False,Z-F3,unchanged
train_1129,False,False,Z-F3,unchanged
train_1130,False,False,Z-F3,unchanged
train_1135,False,False,Z-F3,unchanged
train_1136,False,False,Z-F3,unchanged
train_1139,False,False,Z-F3,unchanged
train_1140,False,False,Z-F3,unchanged
train_1143,False,False,Z-F3,unchanged
train_1144,True,True,Z-F3,unchanged
train_1148,False,False,Z-F3,unchanged
train_1159,True,True,Z-F3,unchanged
train_1160,False,False,Z-F3,unchanged
train_1170,False,False,Z-F3,unchanged
train_1173,True,True,Z-F3,unchanged
train_1177,True,False,Z-F3,right_to_wrong
train_1181,False,True,Z-F3,wrong_to_right
train_1184,True,False,Z-F3,right_to_wrong
train_1188,True,True,Z-F3,unchanged
train_1192,True,True,Z-F3,unchanged
train_1194,True,True,Z-F3,unchanged
train_1195,True,True,Z-F3,unchanged
train_1196,True,True,Z-F3,unchanged
train_1201,True,False,Z-F3,right_to_wrong
train_1205,True,True,Z-F3,unchanged
train_1211,False,False,Z-F3,unchanged
train_1212,False,False,Z-F3,unchanged
train_1224,False,True,Z-F3,wrong_to_right
train_1225,True,False,Z-F3,right_to_wrong
train_1232,False,False,Z-F3,unchanged
train_1234,False,False,Z-F3,unchanged
train_1243,False,True,Z-F3,wrong_to_right
