resample,accuracy_delta,macro_f1_delta,class_f1_A_delta,class_f1_B_delta,class_f1_C_delta,class_f1_D_delta,parse_rate_delta,mean_latency_seconds_delta,mean_realized_tiles_delta
0,0.09868421052631576,0.11308062174599359,0.2863636363636364,0.05710691823899372,-0.04266321913380733,0.1515151515151515,0.006578947368421018,0.004996307099262576,0.0
1,0.06333333333333341,0.09872942560966186,0.18386876281613124,-0.0463565986728926,0.09880989664891948,0.15859564164648912,0.00666666666666671,0.001312150927260558,0.0
2,0.06953642384105962,0.06783808848020673,0.23510985814650737,0.04144736842105268,-0.019490586932447374,0.014285714285714263,0.0066225165562914245,0.01128570195780898,0.0
3,0.15923566878980888,0.17824410447330608,0.32811374407582944,0.09251078954049247,0.09480321809088932,0.19754866618601297,0.0031847133757961776,0.00771382894770356,0.0
4,0.09904153354632589,0.15764777073375913,0.22622779519331243,0.08118878757176629,0.06663113006396587,0.2565433701059918,0.006389776357827448,0.01159159193773529,0.0
5,0.042207792207792194,0.07104597624585263,0.16937500000000005,0.009633027522935711,-0.030085316569375797,0.13526119402985076,0.00649350649350644,0.01274522148109003,0.0
6,0.11834319526627213,0.13201681355957928,0.22010150312037102,0.04029298497319339,0.09223416965352449,0.17543859649122806,0.00591715976331364,0.005418064218764007,0.0
7,0.11610486891385763,0.1463985025388057,0.2973531844499586,0.07286432160804024,0.06625713032031594,0.14911937377690798,0.0037453183520599342,0.031497781318420515,0.0
8,0.08710801393728224,0.09925239201189062,0.22226762002042905,0.018118466898954688,0.05377147124719944,0.10285200988097914,0.0034843205574912606,0.01358079009783486,0.0
9,0.08552631578947373,0.1339374365342197,0.20813953488372094,0.0036721898790863516,0.09936856098371555,0.22456946039035597,0.0,-0.0052242172103816875,0.0
10,0.08823529411764702,0.10924835271876887,0.2676501580611169,0.026398547194047106,0.04223169314219294,0.10071301247771836,0.013071895424836555,0.01873702599721805,0.0
11,0.0993150684931507,0.08707959008250127,0.24936594202898554,0.027891542225862653,0.03516344017772138,0.03589743589743588,0.0,0.028470983505504255,0.0
12,0.05960264900662249,0.10395166753370827,0.1553891184573003,-0.01712878366568682,0.10289844801927578,0.17464788732394368,0.0066225165562914245,0.040623963286249065,0.0
