resample,accuracy_delta,macro_f1_delta,class_f1_A_delta,class_f1_B_delta,class_f1_C_delta,class_f1_D_delta,parse_rate_delta,mean_latency_seconds_delta,mean_realized_tiles_delta
0,0.026315789473684237,0.03886926873859453,0.14498432601880873,0.005057471264367841,-0.03051747014595313,0.03595274781715457,0.006578947368421018,-0.0026399508412731088,0.0
1,-0.009999999999999953,0.008256325863289005,0.035714285714285754,-0.02090410998510972,-0.04200896191187453,0.06022408963585438,0.00666666666666671,-8.000585250556025e-05,0.0
2,-0.019867549668874163,0.008969332925778062,0.021931946460248375,-0.01348253275109168,-0.07445887445887445,0.10188679245283017,0.0066225165562914245,-0.013331999881994738,0.0
3,-0.01273885350318471,-0.002895482381000458,0.08700000000000002,0.011042810442181639,-0.07936507936507936,-0.030259660601104077,0.0031847133757961776,0.02567141364880232,0.0
4,0.0063897763578275035,0.04243477870032136,0.12670041126225878,0.010690703280578528,-0.030519480519480557,0.06286748077792856,0.006389776357827448,0.009795376203787565,0.0
5,0.009740259740259771,0.033257743354409175,0.08048611111111109,-0.018468468468468502,0.038685744568097535,0.032327586206896575,0.00649350649350644,0.020437300265706115,0.0
6,0.008875739644970404,-0.005980501111399084,0.07721617775329381,-0.013817222795550976,-0.008373590982286627,-0.07894736842105263,0.00591715976331364,0.0020854623282889895,0.0
7,0.06367041198501872,0.0722325295787501,0.2052785923753666,0.08252427184466016,-0.015503875968992276,0.016631130063965882,0.0037453183520599342,-0.009371562184214755,0.0
8,-0.006968641114982577,-0.007457571649824135,0.04335664335664341,0.0031375398384991815,-0.05914313708025293,-0.017181332714186204,0.0034843205574912606,0.004198124680914628,0.0
9,0.0,0.016918308252576342,0.11956521739130438,-0.020666434459537975,-0.045218087234893956,0.013992537313432862,0.0,-0.005105029865119071,0.0
10,0.04575163398692811,0.060195490405853314,0.18353576248313086,0.019621939358058116,-0.01384632845306999,0.0514705882352941,0.013071895424836555,0.024687300627941666,0.0
11,0.05821917808219179,0.048597619404529446,0.13027810419114766,0.05733654056418103,-0.03478260869565214,0.04155844155844152,0.0,0.006697544777025999,0.0
12,0.023178807947019875,0.0340100626527724,0.09421487603305784,0.010398984569741976,0.010624656530500098,0.020801733477789824,0.0066225165562914245,0.028461813488790177,0.0
13,0.05442176870748294,0.08148116628644414,0.19298245614035087,0.017564314728448938,0.007044560943643474,0.10833333333333334,0.003401360544217691,0.0012732615700740135,0.0
14,0.022292993630573243,0.04457385146394316,0.07645571531001166,0.0023726668775703175,0.07085301472631289,0.028614008941877767,0.0031847133757961776,-0.0024878540206820787,0.0
