resample,accuracy_delta,macro_f1_delta,class_f1_A_delta,class_f1_B_delta,class_f1_C_delta,class_f1_D_delta,parse_rate_delta,mean_latency_seconds_delta,mean_realized_tiles_delta
0,0.03618421052631576,0.057356875899779336,0.11841491841491841,0.022140672782874682,0.010949834479246245,0.07792207792207789,0.006578947368421018,0.25372140149671674,-2.0921052631578947
1,0.0533333333333334,0.0667645374819828,0.07680491551459295,0.05808637214938861,0.07722180731889472,0.054945054945054944,0.00666666666666671,0.2734759602447352,-2.0999999999999996
2,-0.009933774834437081,-0.0050602575603221345,-0.01883084236025412,0.048274058577405854,-0.034869431643625215,-0.014814814814814836,0.0066225165562914245,0.2620845514516168,-2.089403973509934
3,0.035031847133757954,0.04264617259068737,0.11794059405940599,0.04729979724429839,0.010582010582010581,-0.005237711522965316,0.0031847133757961776,0.2524212680039275,-2.0605095541401273
4,-0.006389776357827448,0.023719852024317534,0.08228840125391845,0.010147667711748798,-0.02221597300337458,0.024659312134977296,0.006389776357827448,0.25051081301971745,-2.115015974440894
5,0.04545454545454547,0.05418538439515874,0.07604166666666667,0.04523809523809519,0.09217230199166282,0.003289473684210509,0.00649350649350644,0.2460681388045769,-2.0844155844155843
6,0.029585798816568032,0.015723405722878225,0.09339622641509432,0.005978434931141252,0.027314814814814792,-0.06379585326953746,0.00591715976331364,0.19851791519759843,-2.0680473372781067
7,0.05617977528089885,0.0563606011564603,0.06328725038402461,0.13436123348017626,0.011162790697674396,0.016631130063965882,0.0037453183520599342,0.24920100417713664,-2.074906367041198
8,0.010452961672473893,0.016774982441003283,0.029023150762281236,0.01573364305071623,0.025566343042071227,-0.0032232070910555577,0.0034843205574912606,0.25348459452533434,-2.094076655052265
9,0.023026315789473673,0.051707972321592854,0.12567567567567572,-0.002388416181519637,0.023843137254901947,0.05970149253731344,0.0,0.24033725175295817,-2.141447368421052
10,0.05555555555555558,0.07490870974720376,0.14636174636174637,0.04688344790298915,0.06628269285242189,0.04010695187165775,0.013071895424836555,0.28568569947874145,-2.045751633986929
11,0.08561643835616439,0.08227282809207037,0.08782128272880135,0.12158993422933945,0.06022063595068139,0.05945945945945946,0.0,0.26911972683841656,-2.065068493150685
12,0.046357615894039694,0.06963665023979032,0.028593141445805992,0.073727561021108,0.11172293870453559,0.06450295978771178,0.0066225165562914245,0.3330491154874051,-2.072847682119205
13,0.09183673469387754,0.10557531499885403,0.16081871345029242,0.11748070268831512,0.06691851052347542,0.07708333333333334,0.003401360544217691,0.24538622329290327,-2.112244897959184
14,0.0573248407643312,0.0790049156132811,0.035565047822453344,0.06466410180526783,0.15081286751988932,0.06497764530551414,0.0031847133757961776,0.23969997423789957,-2.095541401273885
