resample,accuracy_delta,macro_f1_delta,class_f1_A_delta,class_f1_B_delta,class_f1_C_delta,class_f1_D_delta,parse_rate_delta,mean_latency_seconds_delta,mean_realized_tiles_delta
0,0.023026315789473728,0.0379036566829169,0.06060606060606061,0.01690721649484539,-0.05620168067226888,0.1303030303030303,0.006578947368421018,1.3972999276899682,0.18421052631578938
1,0.03666666666666668,0.03549174280458828,0.032967032967033016,0.054167876851582974,-0.04460771451062712,0.09943977591036415,0.00666666666666671,1.404990187563623,0.20000000000000018
2,0.01655629139072845,-0.005346044484824064,0.04778248872737062,0.03392857142857142,-0.0630952380952381,-0.04000000000000001,0.0066225165562914245,1.3975556943818483,0.1788079470198678
3,0.04140127388535031,0.05527222823403838,0.16914285714285715,0.028496642767725067,-0.09848768903887012,0.12193710206444147,0.0031847133757961776,1.3338053222971071,0.12101910828025453
4,0.05750798722044731,0.07471232379393089,0.09137931034482755,0.04178865123911457,0.011904761904761862,0.15377657168701947,0.006389776357827448,1.327744706569555,0.23003194888178946
5,0.042207792207792194,0.054909389097826056,0.01539003759398494,0.041639871382636584,0.02683178534571723,0.13577586206896552,0.00649350649350644,1.2972706047177025,0.16883116883116855
6,0.08284023668639051,0.11896905089326737,0.17146640185369078,0.029886480908152768,0.03865587441746382,0.23586744639376217,0.00591715976331364,1.2414333944748976,0.1360946745562126
7,0.03745318352059923,0.019905042548877705,0.043662430759205006,0.0842696629213483,-0.03304773561811508,-0.015264187866927625,0.0037453183520599342,1.3033751347608,0.14981273408239737
8,0.04181184668989546,0.03709975602767612,0.062438336856941556,0.060632264299702365,-0.049276424253526296,0.07460484720758698,0.0034843205574912606,1.3568422038867445,0.1881533101045294
9,0.029605263157894746,0.04022477362649479,0.10390070921985817,0.014006536383645685,0.036414565826330514,0.0065772830761447465,0.0,1.2949947132974078,0.2828947368421053
10,0.05882352941176472,0.04718595326748598,0.10106681639528353,0.07864220298190239,0.0200642054574639,-0.011029411764705899,0.013071895424836555,1.355382271321016,0.09150326797385588
11,0.04794520547945208,0.034503444188923926,0.025407608695652173,0.08706262947302701,0.009959123002601267,0.01558441558441559,0.0,1.3561991956690962,0.13013698630136972
12,0.02649006622516553,0.03275256089509526,-0.036038477171115024,0.03442549658299798,0.005034160373966201,0.12758906379453192,0.0066225165562914245,1.466807909840286,0.1456953642384109
13,0.07823129251700678,0.07844340299087471,0.07838143746462933,0.10572856593617841,-0.058215179316096766,0.18787878787878787,0.003401360544217691,1.3532148877089072,0.22448979591836693
14,0.09235668789808915,0.10240457411364906,0.11983471074380164,0.09126653163350407,0.07371536185095506,0.12480169222633525,0.0031847133757961776,1.3315502000664163,0.1910828025477711
15,0.055194805194805185,0.07326784926067248,0.07723577235772355,0.04257155838255333,0.05338725985844289,0.11987680644397058,0.0032467532467532756,1.3118762344291262,0.18181818181818166
16,0.047619047619047616,0.06009078711270094,0.11706349206349204,0.02140292736813032,0.010354440461967374,0.09154228855721391,0.0,1.4605772996631763,0.22448979591836693
17,0.0633333333333333,0.08011515403906788,0.0975583169827774,0.04586063132817153,0.05530253741054003,0.12173913043478257,0.0,1.290425566950192,0.21999999999999975
18,0.0,0.0017552794748481038,0.003463203463203446,0.007619047619047636,-0.03204068658614112,0.02797955340328223,0.003058103975535187,1.3021566561090017,0.2629969418960245
19,0.06451612903225806,0.07897601538212273,0.08595041322314051,0.04926285508809786,0.05735745988391944,0.12333333333333335,0.006451612903225823,1.4444941604449864,0.21935483870967776
20,0.01384083044982698,0.02462787780349196,0.04487231785918255,0.015440628152827207,-0.04389098703684802,0.08208955223880599,0.0034602076124568004,1.3971175923524588,0.304498269896194
21,0.05281690140845069,0.044936348356554856,0.10642201834862386,0.07178982476284201,-0.04644246167924959,0.04797601199400303,0.0,1.337126579463587,0.19014084507042295
22,0.023333333333333373,0.04333380755059735,0.05881914972824065,0.008196721311475419,-0.012569529726215445,0.1188888888888889,0.0,1.3961287511854121,0.2333333333333334
23,0.0,0.01428217091740236,0.030083955223880576,-0.008594657375145198,-0.028947368421052666,0.06458675424192667,0.0031250000000000444,1.3507673923508263,0.21250000000000036
24,0.037288135593220306,0.07306173659525977,0.08686350021394951,0.0016681680178828318,-0.0015633142261594624,0.20527859237536655,0.0,1.3707043047773384,0.17627118644067785
25,0.05862068965517242,0.06583523682095405,0.0919169522273735,0.04848723760717455,0.06424457244129372,0.05869218500797446,0.0034482758620689724,1.3804724014428411,0.11034482758620712
26,0.08709677419354839,0.11165255576782585,0.13895781637717125,0.06370829033367736,0.05991633858267714,0.1840277777777778,0.0,1.3112658792175351,0.15483870967741975
27,0.03484320557491288,0.035987053852755635,0.028297244094488194,0.03720253802939133,-0.03396603396603398,0.11241446725317694,0.006968641114982632,1.3957232997009617,0.09756097560975618
28,0.07823129251700678,0.0787361955577518,0.1255880256593015,0.07603380793011516,0.0585284280936455,0.0547945205479452,0.010204081632653073,1.3787119743338194,0.0952380952380949
29,0.03821656050955413,0.048521526656828184,0.07682896990457555,0.02464102708485838,-0.012389995368226048,0.10500610500610497,0.0,1.348149932336632,0.1592356687898091
30,0.05067567567567566,0.07839199821625148,0.035889872173058,0.013957645764576476,0.09294871794871795,0.17077175697865354,0.0033783783783783994,1.3837762565031093,0.23648648648648685
31,0.06622516556291397,0.07836184058837142,0.16525699414443723,0.04384211068741628,0.008295625942684792,0.09605263157894733,0.0033112582781457123,1.418240561853132,0.298013245033113
32,0.07236842105263158,0.08238025720040482,0.09893651305188528,0.06548597933797173,0.02611548556430443,0.1389830508474576,0.003289473684210509,1.3721653246780319,0.1578947368421053
33,0.035598705501618144,0.04691556131139968,0.07444907683144725,0.021220971312826853,0.012806676739333722,0.079185520361991,0.0,1.3023648793691571,0.1941747572815533
34,0.006688963210702337,0.010697925049254153,-0.011029411764705899,0.005763177727534652,0.062233589087809016,-0.01417565485362099,0.0,1.3327953962322612,0.23411371237458223
35,0.04545454545454547,0.062211261767037174,0.20716877825173485,0.012676482218035523,-0.04230303030303029,0.07130281690140844,0.0032467532467532756,1.3687756639427517,0.337662337662338
36,0.020408163265306145,0.011725617414466316,0.04456733897202342,0.04556821339260908,-0.07894736842105265,0.0357142857142857,0.003401360544217691,1.3742402969561769,0.21768707482993221
37,0.013422818791946345,0.04248693899261352,0.04753623188405792,-0.010615613894302434,-0.06516290726817042,0.1981900452488688,0.003355704697986628,1.3724037065676997,0.16778523489932873
38,0.05050505050505055,0.05159641439722895,0.22343179555260534,0.03340698188245683,-0.034868704261730554,-0.01558441558441559,0.0,1.3935749034839446,0.27609427609427595
39,0.03353658536585369,0.041579265260922704,0.1037155840684309,0.020487623991842008,-0.05450450450450445,0.09661835748792269,0.0,1.3527954879199813,0.27439024390243905
40,0.05369127516778521,0.05220209292888606,0.10502680658021352,0.05857345299952765,-0.02562867328258983,0.07083678541839267,0.0,1.3517882075135743,0.22147651006711389
41,0.017543859649122806,-0.004021908641787364,0.10480586478414339,0.04336838672862153,-0.10700717602363863,-0.05725471005627597,0.007017543859649145,1.4055320175560682,0.2175438596491226
42,0.07291666666666663,0.08478648833386832,0.13024282560706402,0.047107633949739214,-0.008447043534762833,0.17024253731343286,0.0,1.4162759828387708,0.11805555555555536
43,-0.020833333333333315,-0.02353622273300693,0.026862026862026822,-0.004474648320608621,-0.09835045129162773,-0.018181818181818188,0.0,1.3603193605409212,0.22222222222222232
44,0.01967213114754096,0.01229640060463516,0.030305602716468594,0.03980690491836425,-0.025755879059350506,0.0048289738430583595,0.003278688524590123,1.3427135723749877,0.1573770491803277
45,0.08503401360544222,0.095616736269997,0.08686001775673274,0.08813909450852131,0.06254029658284976,0.14492753623188404,0.006802721088435382,1.3420793325196774,0.12244897959183643
46,-0.007067137809187274,0.013956529139502183,0.01785714285714285,-0.020992907801418492,-0.00534971270061424,0.06431159420289856,0.0,1.3781292582812716,0.27561837455830407
47,0.0726072607260726,0.07653779675713329,0.07759533898305082,0.08254732758044014,-0.02363433667781495,0.16964285714285715,0.0033003300330033403,1.387727225150163,0.15181518151815165
48,0.058620689655172364,0.06847974239384769,0.15322580645161288,0.050324518066453605,0.03284072249589487,0.03752792256142956,0.0,1.3767057434238235,0.19310344827586245
49,0.06472491909385114,0.09342616446626406,0.0675675675675676,0.040619307832422624,0.10767065446868401,0.1578471279963818,0.0,1.2409242426277318,0.10355987055016147
50,0.042763157894736836,0.06437876382135804,0.15609408410548825,0.002757646200829522,0.04310776942355887,0.05555555555555558,0.0,1.428773513480433,0.2631578947368425
51,0.01672240802675584,-0.00038758306726216496,0.04898434193821416,0.02636642690246027,-0.024520148728771007,-0.05238095238095236,0.0,1.3851413846040848,0.20735785953177288
52,0.08940397350993373,0.0968067626557037,0.1244629244629245,0.10427385258010291,0.04084321475625824,0.11764705882352938,0.0,1.272386429106681,0.0860927152317883
53,0.020000000000000018,0.05376762555344522,0.07285905016212091,0.00442677296263283,-0.07173913043478258,0.20952380952380956,0.0,1.4154040831296393,0.27333333333333343
54,0.08766233766233766,0.09552531898261812,0.21885714285714283,0.05799802407041488,-0.004210526315789498,0.10945663531870431,0.0,1.3916961279903335,0.26623376623376593
55,0.04276315789473689,0.04453536917837747,0.08774928774928775,0.0437332923053253,-0.020007770007770043,0.06666666666666671,0.003289473684210509,1.3616571135598385,0.3157894736842106
56,0.07482993197278909,0.06981904881619483,0.13849056603773582,0.08720821661998124,0.0335001925298421,0.02007722007722007,0.003401360544217691,1.413735427336172,0.18367346938775508
57,0.014652014652014655,0.0024968486361822695,0.11148232811675751,0.019563795603833145,-0.02254178002331908,-0.09851694915254239,0.0,1.3880703258993368,0.3003663003663002
58,0.0509554140127389,0.056965860289127646,0.14104758644299897,0.043051438901851924,0.015986638033882117,0.027777777777777735,0.0,1.4161130443488241,0.1974522292993628
59,0.006779661016949157,-0.013558827489769998,-0.0026864728192161347,0.03271692745376953,-0.06878306878306878,-0.015482695810564662,0.006779661016949157,1.420137598106669,0.1084745762711865
