experiment,frames,rank,mean_latency_seconds,mean_realized_tiles,peak_vram_gib,peak_vram_scope
L32-F1,1,32,1.0002327913374658,7.8120805369127515,18.002898693084717,training
L64-F1,1,64,1.1216045902173142,7.8120805369127515,18.08868360519409,training
Z-F8,8,0,2.359815238878106,8.0,2.6402454376220703,inference
L16-F8,8,16,2.3424805275527074,8.0,2.6483020782470703,inference
Z-F3,3,0,1.233387334344146,5.718120805369128,2.626051425933838,inference
L16-F3,3,16,1.2498418694774576,5.718120805369128,2.634108066558838,inference
L16-F1,1,16,0.9822861686373917,7.8120805369127515,2.634108066558838,inference
L8-F1,1,8,0.9989876875922634,7.8120805369127515,17.80419683456421,training
Z-F1,1,0,0.9868746734499281,7.8120805369127515,2.626051425933838,inference
