resample,accuracy,macro_f1,class_f1_A,class_f1_B,class_f1_C,class_f1_D,parse_rate,mean_latency_seconds,mean_realized_tiles
0,0.47368421052631576,0.4293837535014005,0.36363636363636365,0.5466666666666666,0.5042016806722689,0.30303030303030304,0.993421052631579,0.9939157064409779,7.815789473684211
1,0.4533333333333333,0.38713259893740054,0.42857142857142855,0.536741214057508,0.36893203883495146,0.21428571428571427,0.9933333333333333,0.9862866034358739,7.8
2,0.45695364238410596,0.3921894078144078,0.39316239316239315,0.5375,0.4380952380952381,0.2,0.9933774834437086,0.997223797568817,7.821192052980132
3,0.4299363057324841,0.40163795401066527,0.288,0.48184818481848185,0.5079365079365079,0.3287671232876712,0.9968152866242038,0.9784903076512941,7.8789808917197455
4,0.4057507987220447,0.3175841067693708,0.25862068965517243,0.541033434650456,0.32142857142857145,0.14925373134328357,0.9936102236421726,0.9870680109999431,7.7699680511182105
5,0.4675324675324675,0.41622242647058827,0.390625,0.55,0.4117647058823529,0.3125,0.9935064935064936,0.9807276997485428,7.8311688311688314
6,0.4171597633136095,0.37437912823741437,0.389937106918239,0.47678018575851394,0.3851851851851852,0.24561403508771928,0.9940828402366864,0.9783830739442017,7.863905325443787
7,0.41947565543071164,0.3749589183010038,0.27956989247311825,0.5,0.3488372093023256,0.37142857142857144,0.9962546816479401,0.9863504861561714,7.850187265917603
8,0.4529616724738676,0.4227059983571131,0.41818181818181815,0.5087108013937283,0.4077669902912621,0.3561643835616438,0.9965156794425087,1.0057450077928058,7.811846689895471
9,0.4506578947368421,0.3949623196024304,0.35,0.5391849529780565,0.39215686274509803,0.29850746268656714,1.0,0.9695338991219423,7.717105263157895
10,0.42483660130718953,0.3729162142809288,0.3076923076923077,0.5233644859813084,0.33707865168539325,0.3235294117647059,0.9869281045751634,0.985776373194348,7.908496732026144
11,0.3972602739726027,0.39602392112493945,0.3652173913043478,0.40148698884758366,0.41739130434782606,0.4,1.0,0.9872813274675648,7.86986301369863
12,0.4271523178807947,0.3618776044679534,0.39669421487603307,0.5342019543973942,0.2912621359223301,0.22535211267605634,0.9933774834437086,0.9784402539213466,7.854304635761589
13,0.3741496598639456,0.33705838912382063,0.22807017543859648,0.44982698961937717,0.4036697247706422,0.26666666666666666,0.9965986394557823,0.9998203444161585,7.775510204081633
14,0.4394904458598726,0.3783883784534971,0.38016528925619836,0.5321100917431193,0.3389830508474576,0.26229508196721313,0.9968152866242038,1.006527345855928,7.808917197452229
15,0.4675324675324675,0.4294942010775324,0.42276422764227645,0.5419354838709678,0.3652173913043478,0.3880597014925373,0.9967532467532467,0.997388310561126,7.818181818181818
16,0.46258503401360546,0.4080661894387384,0.3968253968253968,0.5490196078431373,0.41975308641975306,0.26666666666666666,1.0,0.9781305132034633,7.775510204081633
17,0.45,0.4120178262333858,0.3484848484848485,0.541095890410959,0.3584905660377358,0.4,1.0,0.9698623073318352,7.78
18,0.5076452599388379,0.4803489439853076,0.4935064935064935,0.5523809523809524,0.4628099173553719,0.4126984126984127,0.9969418960244648,0.9876889898171164,7.7370030581039755
19,0.4,0.3504916779556744,0.3140495867768595,0.48148148148148145,0.3564356435643564,0.25,0.9935483870967742,1.0069309259945105,7.780645161290322
20,0.4809688581314879,0.4299948866831925,0.2912621359223301,0.5751633986928104,0.43564356435643564,0.417910447761194,0.9965397923875432,0.9769963616775961,7.695501730103806
21,0.40492957746478875,0.3866266831805095,0.29357798165137616,0.45255474452554745,0.3655913978494624,0.43478260869565216,1.0,0.9694838649691673,7.809859154929577
22,0.4033333333333333,0.3471941455668332,0.2882882882882883,0.4918032786885246,0.42201834862385323,0.18666666666666668,1.0,1.0026871329980591,7.766666666666667
23,0.471875,0.42207673974061166,0.328125,0.5609756097560976,0.45,0.3492063492063492,0.996875,0.975661904385197,7.7875
24,0.47796610169491527,0.40200275776172406,0.3684210526315789,0.5825242718446602,0.4752475247524752,0.18181818181818182,1.0,0.9756431874424472,7.823728813559322
25,0.44482758620689655,0.3967512797525251,0.34710743801652894,0.5342465753424658,0.3783783783783784,0.32727272727272727,0.996551724137931,0.982240141555667,7.889655172413793
26,0.3935483870967742,0.33979291487994745,0.3225806451612903,0.48366013071895425,0.33070866141732286,0.2222222222222222,1.0,0.9716891700221646,7.84516129032258
27,0.445993031358885,0.38346038516506903,0.3779527559055118,0.5498281786941581,0.36363636363636365,0.24242424242424243,0.9930313588850174,0.9824791763574924,7.902439024390244
28,0.4217687074829932,0.37710654273132915,0.3826086956521739,0.49836065573770494,0.32608695652173914,0.3013698630136986,0.9897959183673469,0.9742459765774812,7.904761904761905
29,0.4745222929936306,0.4343503652485974,0.47540983606557374,0.5448504983388704,0.4094488188976378,0.3076923076923077,1.0,1.0073383453147853,7.840764331210191
30,0.44594594594594594,0.3990403504636178,0.3888888888888889,0.5346534653465347,0.2916666666666667,0.38095238095238093,0.9966216216216216,0.9769036928663735,7.763513513513513
31,0.44039735099337746,0.39036180717528296,0.2830188679245283,0.5303514376996805,0.4230769230769231,0.325,0.9966887417218543,0.9976936629233228,7.701986754966887
32,0.40789473684210525,0.3433461461159682,0.2803738317757009,0.5096774193548387,0.38333333333333336,0.2,0.9967105263157895,0.9829089736112541,7.842105263157895
33,0.4692556634304207,0.4378130554912349,0.391304347826087,0.5351170568561873,0.4424778761061947,0.38235294117647056,1.0,0.9798596078186359,7.805825242718447
34,0.4816053511705686,0.42117826334911124,0.4375,0.56957928802589,0.37254901960784315,0.3050847457627119,1.0,0.9742346295252143,7.765886287625418
35,0.4805194805194805,0.44366578602856654,0.35398230088495575,0.5424836601307189,0.512,0.36619718309859156,0.9967532467532467,0.9829524744168988,7.662337662337662
36,0.4523809523809524,0.3943202907516239,0.2830188679245283,0.5442622950819672,0.5,0.25,0.9965986394557823,1.00334810195364,7.782312925170068
37,0.47651006711409394,0.4144790774470872,0.4057971014492754,0.5770491803278689,0.38095238095238093,0.29411764705882354,0.9966442953020134,0.9658033533753114,7.832214765100671
38,0.45454545454545453,0.4111191052986285,0.2956521739130435,0.5419354838709678,0.391304347826087,0.4155844155844156,1.0,0.9851174876626945,7.723905723905724
39,0.4329268292682927,0.386066733168434,0.31007751937984496,0.5074626865671642,0.5045045045045045,0.2222222222222222,1.0,0.9896799521321976,7.725609756097561
40,0.45302013422818793,0.4270432719675709,0.4172661870503597,0.4931506849315068,0.4742268041237113,0.3235294117647059,1.0,0.9736006956066211,7.778523489932886
41,0.47368421052631576,0.4478480087489305,0.3779527559055118,0.5390070921985816,0.45652173913043476,0.417910447761194,0.9929824561403509,0.9972879781534797,7.782456140350877
42,0.4027777777777778,0.34917224438368716,0.3333333333333333,0.49324324324324326,0.2716049382716049,0.29850746268656714,1.0,0.9894167915109493,7.881944444444445
43,0.4583333333333333,0.4310686609956683,0.2905982905982906,0.5255474452554745,0.5185185185185185,0.38961038961038963,1.0,0.9822673923174281,7.777777777777778
44,0.46229508196721314,0.43318645902628955,0.4342105263157895,0.5136986301369864,0.44680851063829785,0.3380281690140845,0.9967213114754099,0.9920300943471614,7.842622950819672
45,0.4557823129251701,0.39017265186861977,0.3486238532110092,0.5605095541401274,0.3617021276595745,0.2898550724637681,0.9931972789115646,0.972378539583538,7.877551020408164
46,0.4664310954063604,0.40817602040816325,0.25,0.56,0.5102040816326531,0.3125,1.0,0.9544233863699405,7.724381625441696
47,0.41914191419141916,0.35888918945110293,0.4067796610169492,0.5033112582781457,0.3826086956521739,0.14285714285714285,0.9966996699669967,0.9834062223516331,7.848184818481848
48,0.4,0.3674910458125469,0.25,0.47297297297297297,0.25287356321839083,0.49411764705882355,1.0,1.016530478922329,7.8068965517241375
49,0.4692556634304207,0.4216041479778415,0.3918918918918919,0.5704918032786885,0.30612244897959184,0.417910447761194,1.0,0.9688447707160873,7.8964401294498385
50,0.4144736842105263,0.36655146540551603,0.2786885245901639,0.511326860841424,0.34285714285714286,0.3333333333333333,1.0,0.9868551555340864,7.7368421052631575
51,0.46153846153846156,0.4210798706147687,0.39705882352941174,0.5284280936454849,0.4731182795698925,0.2857142857142857,1.0,0.9769384303413655,7.792642140468227
