resample,accuracy_delta,macro_f1_delta,class_f1_A_delta,class_f1_B_delta,class_f1_C_delta,class_f1_D_delta,parse_rate_delta,mean_latency_seconds_delta,mean_realized_tiles_delta
0,0.032894736842105254,0.05920490815500923,0.0759240759240759,0.04207792207792216,-0.015652062351658225,0.13446969696969696,0.006578947368421018,-0.012435423850547522,0.0
1,-0.023333333333333317,0.00219541598750167,-0.026336791699920148,-0.026453148213886557,0.021311863604072945,0.040259740259740245,0.00666666666666671,-0.0020358724736918576,0.0
2,-0.009933774834437081,0.012494338800068339,-0.020281037230189758,0.01585968379446645,-0.031315577078288914,0.08571428571428569,0.0066225165562914245,-0.003984555151831604,0.0
3,0.015923566878980888,0.025115744733094525,0.06989473684210529,0.05034065638323487,-0.033862433862433816,0.014090019569471646,0.0031847133757961776,0.012252945381744595,0.0
4,0.012779552715654952,0.05216693022663077,0.03972185178129167,0.04262415289818222,0.01470588235294118,0.11161583387410773,0.006389776357827448,-0.01115100916784506,0.0
5,0.025974025974025983,0.05475398071359383,0.035604508196721285,0.027235772357723564,0.05597722960151802,0.10019841269841268,0.00649350649350644,0.00534634684914026,0.0
6,0.014792899408283988,0.005531279461961747,0.023855996530036838,0.015155298112453808,0.054814814814814816,-0.07170099160945842,0.00591715976331364,-0.01626640117931122,0.0
7,0.02621722846441943,0.03579285339024307,0.08274894810659189,0.06387665198237891,-0.008837209302325566,0.0053830227743271175,0.0037453183520599342,-0.018254931824288723,0.0
8,-0.01742160278745647,-0.016051585594965445,-0.02793791574279375,0.0085305779166166,-0.011215266153331072,-0.0335837384003535,0.0034843205574912606,-0.03945108314242729,0.0
9,0.009868421052631582,0.035883582325920926,0.04572192513368989,0.026388817513746776,0.0007002801120448154,0.07072330654420211,0.0,-0.017074230102528065,0.0
10,0.02614379084967322,0.046568762852074674,0.09855769230769229,0.027242801468084332,0.014773200166458611,0.04570135746606335,0.013071895424836555,-0.00762244847487481,0.0
11,0.05136986301369867,0.049507809100126976,0.06636155606407323,0.07767967781908303,0.018092566619915873,0.03589743589743588,0.0,-0.004059658369865882,0.0
12,0.013245033112582738,0.033600363321810656,0.028837700017583956,0.013624132559127533,0.0784857632373338,0.013453857473197384,0.0066225165562914245,0.023236808400995734,0.0
13,0.05442176870748294,0.07948711994255403,0.11417581386621634,0.06419170196940782,0.04261126696489498,0.09696969696969698,0.003401360544217691,-0.016198447214908374,0.0
14,0.031847133757961776,0.05459459971641334,0.022069347615310042,0.038202408256880704,0.09897315353210445,0.059133489461358324,0.0031847133757961776,-0.023409737653698248,0.0
15,0.05844155844155846,0.06433803576457287,0.07723577235772355,0.08964346349745322,0.07228260869565217,0.018190298507462677,0.0032467532467532756,-0.024620124138891697,0.0
16,-0.010204081632653073,0.016847544170647377,0.015873015873015872,-0.009889173060528611,-0.01975308641975304,0.08115942028985507,0.0,0.003233571061674434,0.0
17,0.0633333333333333,0.07681527824946255,0.10414673046251993,0.0822807329656644,0.06628819502421107,0.05454545454545451,0.0,0.009553905505066185,0.0
18,-0.006116207951070374,-0.013655486499397296,-0.0029404557706444456,0.03161904761904755,-0.034238488783943366,-0.04906204906204903,0.003058103975535187,-0.03803201823207669,0.0
