resample,accuracy,macro_f1,class_f1_A,class_f1_B,class_f1_C,class_f1_D,parse_rate,mean_latency_seconds,mean_realized_tiles
0,0.5,0.46825302223999504,0.5086206896551724,0.5517241379310345,0.47368421052631576,0.3389830508474576,1.0,0.9912757555997048,7.815789473684211
1,0.44333333333333336,0.39538892480068955,0.4642857142857143,0.5158371040723982,0.3269230769230769,0.27450980392156865,1.0,0.9862065975833684,7.8
2,0.4370860927152318,0.40115874074018587,0.41509433962264153,0.5240174672489083,0.36363636363636365,0.3018867924528302,1.0,0.9838917976868222,7.821192052980132
3,0.4171974522292994,0.3987424716296648,0.375,0.4928909952606635,0.42857142857142855,0.29850746268656714,1.0,1.0041617213000964,7.8789808917197455
4,0.41214057507987223,0.3600188854696922,0.3853211009174312,0.5517241379310345,0.2909090909090909,0.21212121212121213,1.0,0.9968633872037307,7.7699680511182105
5,0.4772727272727273,0.44948016982499744,0.4711111111111111,0.5315315315315315,0.45045045045045046,0.3448275862068966,1.0,1.001165000014249,7.8311688311688314
6,0.4260355029585799,0.3683986271260153,0.46715328467153283,0.46296296296296297,0.37681159420289856,0.16666666666666666,1.0,0.9804685362724906,7.863905325443787
7,0.48314606741573035,0.4471914478797539,0.48484848484848486,0.5825242718446602,0.3333333333333333,0.3880597014925373,1.0,0.9769789239719566,7.850187265917603
8,0.445993031358885,0.41524842670728895,0.46153846153846156,0.5118483412322274,0.3486238532110092,0.3389830508474576,1.0,1.0099431324737205,7.811846689895471
9,0.4506578947368421,0.41188062785500673,0.46956521739130436,0.5185185185185185,0.3469387755102041,0.3125,1.0,0.9644288692568233,7.717105263157895
10,0.47058823529411764,0.4331117046867821,0.49122807017543857,0.5429864253393665,0.32323232323232326,0.375,1.0,1.0104636738222896,7.908496732026144
11,0.4554794520547945,0.4446215405294689,0.4954954954954955,0.4588235294117647,0.3826086956521739,0.44155844155844154,1.0,0.9939788722445908,7.86986301369863
12,0.4503311258278146,0.3958876671207258,0.4909090909090909,0.5446009389671361,0.3018867924528302,0.24615384615384617,1.0,1.0069020674101368,7.854304635761589
13,0.42857142857142855,0.4185395554102648,0.42105263157894735,0.4673913043478261,0.4107142857142857,0.375,1.0,1.0010936059862325,7.775510204081633
14,0.46178343949044587,0.42296222991744026,0.45662100456621,0.5344827586206896,0.4098360655737705,0.2909090909090909,1.0,1.004039491835246,7.808917197452229
15,0.5032467532467533,0.4770717437320816,0.5152838427947598,0.5700483091787439,0.41025641025641024,0.4126984126984127,1.0,1.0010761326819948,7.818181818181818
16,0.43197278911564624,0.3874551236741778,0.4383561643835616,0.5302325581395348,0.25287356321839083,0.3283582089552239,1.0,0.9942037561040397,7.775510204081633
17,0.4766666666666667,0.4429900982646946,0.47533632286995514,0.5700934579439252,0.32653061224489793,0.4,1.0,0.9993927808105946,7.78
18,0.4709480122324159,0.43286143286143286,0.525096525096525,0.5,0.35714285714285715,0.3492063492063492,1.0,0.9803873960139509,7.7370030581039755
19,0.4064516129032258,0.3633130722644789,0.39215686274509803,0.5194805194805194,0.3130434782608696,0.22857142857142856,1.0,1.0081266089492749,7.780645161290322
20,0.5017301038062284,0.4900702400243052,0.46766169154228854,0.5619047619047619,0.4716981132075472,0.45901639344262296,1.0,0.9880251184292782,7.695501730103806
21,0.41901408450704225,0.4008577536332175,0.42718446601941745,0.49162011173184356,0.2708333333333333,0.41379310344827586,1.0,0.9707397897858959,7.809859154929577
22,0.41,0.3775570131493927,0.44541484716157204,0.4639175257731959,0.3269230769230769,0.273972602739726,1.0,1.005660932964335,7.766666666666667
23,0.478125,0.462407419895029,0.45739910313901344,0.5350877192982456,0.4444444444444444,0.4126984126984127,1.0,1.0005408593802714,7.7875
24,0.4915254237288136,0.4414576732381305,0.4854368932038835,0.5622119815668203,0.5,0.21818181818181817,1.0,1.005545120847301,7.823728813559322
25,0.4793103448275862,0.4500576816269185,0.4536082474226804,0.5462555066079295,0.44036697247706424,0.36,1.0,1.018525993836851,7.889655172413793
26,0.4129032258064516,0.3737072969573876,0.43478260869565216,0.46153846153846156,0.37209302325581395,0.22641509433962265,1.0,0.9811791520655876,7.84516129032258
27,0.43902439024390244,0.3905136485552225,0.47706422018348627,0.5148514851485149,0.28888888888888886,0.28125,1.0,1.0229357612199224,7.902439024390244
28,0.4489795918367347,0.40513977509945254,0.4976958525345622,0.5096153846153846,0.3076923076923077,0.3055555555555556,1.0,1.0083470103761727,7.904761904761905
