resample,accuracy,macro_f1,class_f1_A,class_f1_B,class_f1_C,class_f1_D,parse_rate,mean_latency_seconds,mean_realized_tiles
0,0.5098684210526315,0.48674062940117985,0.48205128205128206,0.5688073394495413,0.5151515151515151,0.38095238095238093,1.0,1.2476371079376947,5.723684210526316
1,0.5066666666666667,0.45389713641938334,0.5053763440860215,0.5948275862068966,0.4461538461538462,0.2692307692307692,1.0,1.2597625636806091,5.7
2,0.4470198675496689,0.3871291502540857,0.37433155080213903,0.5857740585774058,0.4032258064516129,0.18518518518518517,1.0,1.2593083490204338,5.731788079470198
3,0.46496815286624205,0.44428412660135264,0.40594059405940597,0.5291479820627802,0.5185185185185185,0.3235294117647059,1.0,1.2309115756552216,5.818471337579618
4,0.3993610223642173,0.34130395879368836,0.3409090909090909,0.5511811023622047,0.2992125984251969,0.17391304347826086,1.0,1.2375788240196606,5.654952076677317
5,0.512987012987013,0.470407810865747,0.4666666666666667,0.5952380952380952,0.5039370078740157,0.3157894736842105,1.0,1.2267958385531197,5.746753246753247
6,0.4467455621301775,0.3901025339602926,0.48333333333333334,0.4827586206896552,0.4125,0.18181818181818182,1.0,1.1769009891418,5.795857988165681
7,0.4756554307116105,0.4313195194574641,0.34285714285714286,0.6343612334801763,0.36,0.3880597014925373,1.0,1.235551490333308,5.775280898876405
8,0.4634146341463415,0.43948098079811637,0.4472049689440994,0.5244444444444445,0.43333333333333335,0.35294117647058826,1.0,1.2592296023181402,5.7177700348432055
9,0.47368421052631576,0.44667029192402324,0.4756756756756757,0.5367965367965368,0.416,0.3582089552238806,1.0,1.2098711508749005,5.5756578947368425
10,0.4803921568627451,0.44782492402813256,0.4540540540540541,0.5702479338842975,0.40336134453781514,0.36363636363636365,1.0,1.2714620726730894,5.862745098039215
11,0.4828767123287671,0.4782967492170098,0.4530386740331492,0.5230769230769231,0.47761194029850745,0.4594594594594595,1.0,1.2564010543059814,5.804794520547945
12,0.4735099337748344,0.43151425470774374,0.42528735632183906,0.6079295154185022,0.40298507462686567,0.2898550724637681,1.0,1.3114893694087517,5.781456953642384
13,0.46598639455782315,0.44263370412267466,0.3888888888888889,0.5673076923076923,0.47058823529411764,0.34375,1.0,1.2452065677090618,5.663265306122449
14,0.4968152866242038,0.4573932940667782,0.4157303370786517,0.5967741935483871,0.4897959183673469,0.32727272727272727,1.0,1.2462273200938276,5.713375796178344
15,0.5032467532467533,0.4790136893605045,0.4919786096256685,0.5701754385964912,0.45390070921985815,0.4,1.0,1.238883153009289,5.7272727272727275
16,0.5,0.46117611901521416,0.4972972972972973,0.5775862068965517,0.45098039215686275,0.3188405797101449,1.0,1.292808454531264,5.663265306122449
17,0.4866666666666667,0.4668953057339561,0.40860215053763443,0.6063348416289592,0.421875,0.4307692307692308,1.0,1.2176982321807495,5.67
18,0.43730886850152906,0.4210783499616424,0.431924882629108,0.4769874476987448,0.4117647058823529,0.36363636363636365,1.0,1.2100702141545463,5.605504587155964
19,0.432258064516129,0.3932974426157919,0.37777777777777777,0.5338983050847458,0.42962962962962964,0.2318840579710145,1.0,1.2783200058094677,5.670967741935484
20,0.532871972318339,0.503646025115937,0.4878048780487805,0.6244725738396625,0.45454545454545453,0.44776119402985076,1.0,1.23568410611676,5.5432525951557095
21,0.46830985915492956,0.4568041873242762,0.39520958083832336,0.57,0.3888888888888889,0.4731182795698925,1.0,1.2295869789217455,5.714788732394366
22,0.41,0.3835661992112062,0.3891891891891892,0.4766355140186916,0.4251968503937008,0.24324324324324326,1.0,1.2585524695677062,5.65
23,0.4125,0.3898358575333718,0.36097560975609755,0.5041322314049587,0.3609022556390977,0.3333333333333333,1.0,1.211283470777562,5.68125
24,0.5084745762711864,0.4567505404994413,0.43902439024390244,0.6218487394957983,0.5161290322580645,0.25,1.0,1.2354754225777116,5.735593220338983
25,0.46206896551724136,0.44444935147537257,0.4161849710982659,0.5225225225225225,0.453125,0.38596491228070173,1.0,1.2514863418479418,5.834482758620689
26,0.45161290322580644,0.41595418631113823,0.4444444444444444,0.5309734513274337,0.40268456375838924,0.2857142857142857,1.0,1.2225482014308293,5.767741935483871
27,0.4738675958188153,0.4319644438306464,0.4808743169398907,0.5727699530516432,0.3925233644859813,0.28169014084507044,1.0,1.2567901477146284,5.853658536585366
28,0.5170068027210885,0.48770612001245806,0.5297297297297298,0.5915492957746479,0.45454545454545453,0.375,1.0,1.2597939767811421,5.857142857142857
29,0.5,0.47812342871308744,0.4816753926701571,0.56,0.4827586206896552,0.3880597014925373,1.0,1.2679143795702061,5.761146496815287
30,0.5033783783783784,0.4838784159919028,0.4358974358974359,0.5964912280701754,0.453125,0.45,1.0,1.2497781602432951,5.64527027027027
31,0.49337748344370863,0.47850609664203253,0.4069767441860465,0.5775862068965517,0.49572649572649574,0.43373493975903615,1.0,1.2593700686679377,5.552980132450331
32,0.45394736842105265,0.4096520960089251,0.3855421686746988,0.5643153526970954,0.43478260869565216,0.25396825396825395,1.0,1.249441852894195,5.7631578947368425
33,0.5080906148867314,0.48741909669465733,0.5151515151515151,0.5581395348837209,0.47058823529411764,0.4057971014492754,1.0,1.2146394604871285,5.70873786407767
34,0.4882943143812709,0.4581487069910482,0.41304347826086957,0.6094420600858369,0.4166666666666667,0.39344262295081966,1.0,1.2388414803761554,5.648829431438127
35,0.487012987012987,0.4819346688887294,0.45226130653266333,0.5377358490566038,0.46715328467153283,0.47058823529411764,1.0,1.227140813748437,5.4935064935064934
36,0.4557823129251701,0.39916663050060036,0.3096774193548387,0.6115702479338843,0.4496124031007752,0.22580645161290322,1.0,1.2709423972635854,5.673469387755102
37,0.5302013422818792,0.48291937364651005,0.52,0.6434782608695652,0.3888888888888889,0.3793103448275862,1.0,1.2452633653254868,5.748322147651007
38,0.494949494949495,0.48327861826722374,0.46994535519125685,0.547085201793722,0.45454545454545453,0.46153846153846156,1.0,1.2545775331224407,5.585858585858586
39,0.4146341463414634,0.3924527520980855,0.37073170731707317,0.4838709677419355,0.421875,0.29333333333333333,1.0,1.2261173612148524,5.588414634146342
40,0.47651006711409394,0.4420990447776162,0.46938775510204084,0.5495495495495496,0.44642857142857145,0.30303030303030304,1.0,1.231418940898081,5.667785234899329
41,0.45614035087719296,0.4311656158475726,0.5026178010471204,0.4975124378109453,0.34615384615384615,0.3783783783783784,1.0,1.2651403501564473,5.673684210526316
42,0.4861111111111111,0.43189721942780723,0.5257731958762887,0.5675675675675675,0.3655913978494624,0.26865671641791045,1.0,1.2623012546521042,5.822916666666667
43,0.4548611111111111,0.4414951641925326,0.4093567251461988,0.5384615384615384,0.39316239316239315,0.425,1.0,1.2372653395254423,5.666666666666667
44,0.5245901639344263,0.5041496130570625,0.5151515151515151,0.5953488372093023,0.46774193548387094,0.4383561643835616,1.0,1.233510343589988,5.7639344262295085
45,0.4965986394557823,0.4630597894412316,0.4745762711864407,0.5714285714285714,0.4778761061946903,0.3283582089552239,1.0,1.2492304340663816,5.816326530612245
46,0.4416961130742049,0.40782723247775576,0.33136094674556216,0.5614035087719298,0.4528301886792453,0.2857142857142857,1.0,1.226867987511041,5.586572438162544
47,0.4521452145214521,0.39825250136354684,0.46632124352331605,0.5446009389671361,0.4233576642335766,0.15873015873015872,1.0,1.2544628313555084,5.772277227722772
48,0.4379310344827586,0.4334192398330278,0.36024844720496896,0.5114155251141552,0.3392857142857143,0.5227272727272727,1.0,1.2641698157735939,5.710344827586207
49,0.517799352750809,0.4965867140925689,0.45918367346938777,0.6324786324786325,0.4098360655737705,0.48484848484848486,1.0,1.1985189206687232,5.844660194174757
50,0.45394736842105265,0.43973002871976813,0.4067796610169492,0.5414847161572053,0.36065573770491804,0.45,1.0,1.2708922933701328,5.605263157894737
51,0.4782608695652174,0.45523281297413937,0.47619047619047616,0.5201793721973094,0.49122807017543857,0.3333333333333333,1.0,1.2481812729428594,5.688963210702341
52,0.47019867549668876,0.4550894313774685,0.378698224852071,0.5345622119815668,0.5131578947368421,0.3939393939393939,1.0,1.2400692191826093,5.870860927152318
53,0.38333333333333336,0.34243227551666366,0.2822085889570552,0.5284552845528455,0.2878787878787879,0.2711864406779661,1.0,1.286032198453322,5.59
54,0.44155844155844154,0.4270966557485786,0.3870967741935484,0.5152838427947598,0.45045045045045046,0.35555555555555557,1.0,1.2338622265477217,5.60064935064935
55,0.4934210526315789,0.45119935892170304,0.4090909090909091,0.6062992125984252,0.46153846153846156,0.32786885245901637,1.0,1.2279838406615646,5.526315789473684
56,0.47278911564625853,0.45652897337796905,0.33986928104575165,0.575,0.43902439024390244,0.4722222222222222,1.0,1.267599194142714,5.724489795918367
57,0.4725274725274725,0.46812179061229126,0.375,0.5786802030456852,0.4117647058823529,0.5070422535211268,1.0,1.2328816046528928,5.549450549450549
58,0.3885350318471338,0.36950622704200126,0.31213872832369943,0.4576271186440678,0.40522875816993464,0.30303030303030304,1.0,1.2794575333257152,5.703821656050955
59,0.4542372881355932,0.41571590146298637,0.3463687150837989,0.5674418604651162,0.5303030303030303,0.21875,1.0,1.303689800736384,5.83728813559322
60,0.4793103448275862,0.438685261338578,0.4,0.5872340425531914,0.453781512605042,0.3137254901960784,1.0,1.249693249265567,5.482758620689655
61,0.4290322580645161,0.4006618739704226,0.4077669902912621,0.5045045045045045,0.38848920863309355,0.3018867924528302,1.0,1.2098048486596635,5.7387096774193544
62,0.44280442804428044,0.41553450253962215,0.37988826815642457,0.5588235294117647,0.37254901960784315,0.3508771929824561,1.0,1.299734734600183,5.712177121771218
63,0.44483985765124556,0.4319505768409059,0.3764705882352941,0.5,0.5084745762711864,0.34285714285714286,1.0,1.2968483003969984,5.733096085409253
64,0.4717607973421927,0.44196331106915043,0.37333333333333335,0.5637065637065637,0.43795620437956206,0.39285714285714285,1.0,1.2903381699659053,5.591362126245847
65,0.5454545454545454,0.5349652749737543,0.5142857142857142,0.6009852216748769,0.5245901639344263,0.5,1.0,1.2167950638869478,5.748251748251748
66,0.4689655172413793,0.4531329173463172,0.3443708609271523,0.5585585585585585,0.48854961832061067,0.42105263157894735,1.0,1.3003266480109044,5.813793103448276
67,0.494949494949495,0.46222527472527475,0.5,0.5892857142857143,0.375,0.38461538461538464,1.0,1.2459223701458688,5.686868686868687
68,0.42483660130718953,0.41658682063990526,0.35294117647058826,0.5,0.44755244755244755,0.36585365853658536,1.0,1.283935784121817,5.617647058823529
69,0.5181518151815182,0.47274784141808973,0.47904191616766467,0.5822784810126582,0.5673758865248227,0.26229508196721313,1.0,1.242479734771298,5.871287128712871
70,0.46688741721854304,0.4586563824210689,0.3712574850299401,0.5286343612334802,0.5161290322580645,0.4186046511627907,1.0,1.244341428505738,5.69205298013245
71,0.40344827586206894,0.3623232520727854,0.3488372093023256,0.525,0.2803738317757009,0.29508196721311475,1.0,1.221564598394365,5.544827586206897
