experiment,frames,rank,accuracy,accuracy_ci95_low,accuracy_ci95_high,macro_f1,macro_f1_ci95_low,macro_f1_ci95_high,parse_rate,parse_rate_ci95_low,parse_rate_ci95_high,mean_latency_seconds,latency_ci95_low,latency_ci95_high,mean_realized_tiles,tiles_ci95_low,tiles_ci95_high
L32-F1,1,32,0.5302013422818792,0.46482959891790165,0.5933333333333334,0.5140569172652879,0.44151630982861945,0.5790084503847103,1.0,1.0,1.0,1.0002327913374658,0.9745586764360782,1.0264473024696104,7.8120805369127515,7.674740484429066,7.927799609398118
L64-F1,1,64,0.5,0.4352517985611511,0.5633333333333334,0.4960228470340259,0.42734054851214237,0.5584373707508037,1.0,1.0,1.0,1.1216045902173142,1.0963384028865522,1.1462316377886843,7.8120805369127515,7.674740484429066,7.927799609398118
Z-F8,8,0,0.4865771812080537,0.4300341296928328,0.5426621160409556,0.448848403751421,0.3777593669698562,0.5132564122935255,1.0,1.0,1.0,2.359815238878106,2.2528783614810224,2.4699749727692115,8.0,8.0,8.0
L16-F8,8,16,0.48322147651006714,0.4206608465091274,0.5463917525773195,0.4674566387681142,0.3938761960830806,0.5325090232700435,1.0,1.0,1.0,2.3424805275527074,2.237024816684525,2.4497279306441726,8.0,8.0,8.0
Z-F3,3,0,0.48322147651006714,0.4261168384879725,0.5395712001827109,0.44452646960870645,0.37747978045144526,0.5052443476281281,1.0,1.0,1.0,1.233387334344146,1.1897481777870271,1.2797243859607799,5.718120805369128,5.5121107266435985,5.891699414097177
L16-F3,3,16,0.47315436241610737,0.40569395017793597,0.540542652027027,0.4474939229578111,0.37088097601524017,0.5169086685703618,1.0,1.0,1.0,1.2498418694774576,1.202081105440945,1.2984265380306834,5.718120805369128,5.5121107266435985,5.891699414097177
L16-F1,1,16,0.46308724832214765,0.3993503814667181,0.5275862068965518,0.43838087493166267,0.36701927909735316,0.5069645600628926,1.0,1.0,1.0,0.9822861686373917,0.9525827389069915,1.0127089652293588,7.8120805369127515,7.674740484429066,7.927799609398118
L8-F1,1,8,0.4563758389261745,0.3886886408138462,0.5234899328859061,0.4277137042383399,0.3506514642577194,0.4996139311091251,1.0,1.0,1.0,0.9989876875922634,0.9718402611270713,1.026273793645313,7.8120805369127515,7.674740484429066,7.927799609398118
Z-F1,1,0,0.4395973154362416,0.37965794037030826,0.5032679738562091,0.39489923539865296,0.32414907273554405,0.46418710014959813,0.9966442953020134,0.9894736842105263,1.0,0.9868746734499281,0.9576310008234917,1.0168566507880115,7.8120805369127515,7.674740484429066,7.927799609398118
