resample,accuracy,macro_f1,class_f1_A,class_f1_B,class_f1_C,class_f1_D,parse_rate,mean_latency_seconds,mean_realized_tiles
0,0.5723684210526315,0.5424643752473941,0.65,0.6037735849056604,0.46153846153846156,0.45454545454545453,1.0,0.9989120135402405,7.815789473684211
1,0.5166666666666667,0.4858620245470624,0.6124401913875598,0.49038461538461536,0.46774193548387094,0.3728813559322034,1.0,0.9875987543631345,7.8
2,0.5264900662251656,0.46002749629461454,0.6282722513089005,0.5789473684210527,0.4186046511627907,0.21428571428571427,1.0,1.008509499526626,7.821192052980132
3,0.589171974522293,0.5798820584839713,0.6161137440758294,0.5743589743589743,0.6027397260273972,0.5263157894736842,1.0,0.9862041365989976,7.8789808917197455
4,0.5047923322683706,0.47523187750312995,0.48484848484848486,0.6222222222222222,0.3880597014925373,0.4057971014492754,1.0,0.9986596029376784,7.7699680511182105
5,0.5097402597402597,0.4872684027164409,0.56,0.5596330275229358,0.3816793893129771,0.44776119402985076,1.0,0.9934729212296328,7.8311688311688314
6,0.5355029585798816,0.5063959417969937,0.61003861003861,0.5170731707317073,0.4774193548387097,0.42105263157894735,1.0,0.9838011381629657,7.863905325443787
7,0.5355805243445693,0.5213574208398095,0.5769230769230769,0.5728643216080402,0.41509433962264153,0.5205479452054794,1.0,1.017848267474592,7.850187265917603
8,0.5400696864111498,0.5219583903690037,0.6404494382022472,0.526829268292683,0.46153846153846156,0.45901639344262296,1.0,1.0193257978906407,7.811846689895471
9,0.5361842105263158,0.5288997561366501,0.5581395348837209,0.5428571428571428,0.4915254237288136,0.5230769230769231,1.0,0.9643096819115606,7.717105263157895
10,0.5130718954248366,0.4821645669996977,0.5753424657534246,0.5497630331753555,0.3793103448275862,0.42424242424242425,1.0,1.004513399191566,7.908496732026144
11,0.4965753424657534,0.4831035112074407,0.6145833333333334,0.4293785310734463,0.45255474452554745,0.4358974358974359,1.0,1.015752310973069,7.86986301369863
12,0.4867549668874172,0.4658292720016617,0.5520833333333334,0.5170731707317073,0.39416058394160586,0.4,1.0,1.0190642172075957,7.854304635761589
13,0.4931972789115646,0.48187601231376886,0.5555555555555556,0.5133689839572193,0.37209302325581395,0.4864864864864865,1.0,0.9931887483008864,7.775510204081633
14,0.5414012738853503,0.5333532286175209,0.5625,0.5526315789473685,0.5103448275862069,0.5079365079365079,1.0,1.0067728046256645,7.808917197452229
15,0.512987012987013,0.5034063801213378,0.5756097560975609,0.5024630541871922,0.4507042253521127,0.48484848484848486,1.0,0.9881234513535225,7.818181818181818
16,0.54421768707483,0.5139058994257013,0.6039603960396039,0.5769230769230769,0.4423076923076923,0.43243243243243246,1.0,1.001557068978468,7.775510204081633
17,0.5,0.5009622833060333,0.48,0.5656565656565656,0.390625,0.5675675675675675,1.0,0.9937903767296423,7.78
18,0.5504587155963303,0.5315077371412231,0.5836909871244635,0.5700934579439252,0.5034965034965035,0.46875,1.0,0.9956021192811133,7.7370030581039755
19,0.5,0.46933115040380036,0.5685279187817259,0.5395348837209303,0.417910447761194,0.35135135135135137,1.0,1.010413472567715,7.780645161290322
20,0.5224913494809689,0.5114773012056164,0.5319148936170213,0.5658536585365853,0.4406779661016949,0.5074626865671642,1.0,0.9816062514570294,7.695501730103806
21,0.4788732394366197,0.4761484543184983,0.5106382978723404,0.48314606741573035,0.39316239316239315,0.5176470588235295,1.0,0.9895524425943657,7.809859154929577
22,0.5066666666666667,0.4883611359904463,0.5416666666666666,0.5221674876847291,0.5,0.38961038961038963,1.0,0.9787985366024077,7.766666666666667
23,0.4875,0.4641971452457816,0.5345622119815668,0.5118483412322274,0.43356643356643354,0.37681159420289856,1.0,0.9952074133587303,7.7875
24,0.5728813559322034,0.545469051816041,0.6101694915254238,0.6238532110091743,0.49624060150375937,0.45161290322580644,1.0,0.9898988431035463,7.823728813559322
25,0.5827586206896552,0.5804301886722688,0.6063829787234043,0.5812807881773399,0.5522388059701493,0.5818181818181818,1.0,1.0210832634876514,7.889655172413793
26,0.5096774193548387,0.4845454967933823,0.5943396226415094,0.5024630541871922,0.4413793103448276,0.4,1.0,1.0012101159280826,7.84516129032258
27,0.5435540069686411,0.5107069363673745,0.5979381443298969,0.6057692307692307,0.37037037037037035,0.46875,1.0,1.0128164490658906,7.902439024390244
28,0.5884353741496599,0.5684517277060078,0.6458333333333334,0.6069651741293532,0.5210084033613446,0.5,1.0,0.9891449397771942,7.904761904761905
29,0.5222929936305732,0.5088479570348083,0.5527638190954773,0.5242718446601942,0.52,0.4383561643835616,1.0,0.9932509817681305,7.840764331210191
30,0.5472972972972973,0.5409113718161683,0.5714285714285714,0.580952380952381,0.453125,0.5581395348837209,1.0,1.0010556795735013,7.763513513513513
31,0.5529801324503312,0.5473807231885475,0.550561797752809,0.5821596244131455,0.515625,0.5411764705882353,1.0,0.996900309136273,7.701986754966887
32,0.4506578947368421,0.4304459909582006,0.4540540540540541,0.5205479452054794,0.37037037037037035,0.37681159420289856,1.0,1.0104819820078679,7.842105263157895
33,0.5436893203883495,0.5224386899635868,0.6147186147186147,0.5251396648044693,0.4927536231884058,0.45714285714285713,1.0,0.9974923612290698,7.805825242718447
