resample,accuracy,macro_f1,class_f1_A,class_f1_B,class_f1_C,class_f1_D,parse_rate,mean_latency_seconds,mean_realized_tiles
0,0.5394736842105263,0.5401597744015892,0.5306122448979592,0.5314009661835749,0.5673758865248227,0.53125,1.0,2.367269308156162,8.0
1,0.43666666666666665,0.39747112023103814,0.4111111111111111,0.5166666666666667,0.3875968992248062,0.27450980392156865,1.0,2.3538995841735355,8.0
2,0.4768211920529801,0.4196952285187579,0.4656084656084656,0.5555555555555556,0.46153846153846156,0.19607843137254902,1.0,2.37591990662603,8.0
3,0.4713375796178344,0.46903351387948544,0.44761904761904764,0.5118483412322274,0.4444444444444444,0.4722222222222222,1.0,2.3070166591513357,8.0
4,0.4504792332268371,0.40715886327626205,0.42696629213483145,0.5772357723577236,0.32592592592592595,0.29850746268656714,1.0,2.312090181843779,8.0
5,0.4837662337662338,0.45681963848603246,0.45161290322580644,0.5542168674698795,0.43548387096774194,0.38596491228070173,1.0,2.2754222792573273,8.0
6,0.5,0.47861197110423115,0.5350877192982456,0.5087719298245614,0.47058823529411764,0.4,1.0,2.2078654625475096,8.0
7,0.4756554307116105,0.44498946998947,0.4189189189189189,0.6095238095238096,0.32727272727272727,0.42424242424242425,1.0,2.278186666604815,8.0
8,0.46689895470383275,0.4472472489424799,0.45454545454545453,0.5277777777777778,0.4132231404958678,0.39344262295081966,1.0,2.3393544844426346,8.0
9,0.47039473684210525,0.4558656710855383,0.48205128205128206,0.5023255813953489,0.43283582089552236,0.40625,1.0,2.2395721839244573,8.0
10,0.4738562091503268,0.4494230067505929,0.42328042328042326,0.5775862068965517,0.3968253968253968,0.4,1.0,2.3277859254009727,8.0
11,0.4657534246575342,0.4621755981695806,0.46875,0.4838709677419355,0.44274809160305345,0.4533333333333333,1.0,2.3397208659380215,8.0
12,0.4768211920529801,0.44561908391529215,0.46994535519125685,0.5727272727272728,0.3969465648854962,0.34285714285714286,1.0,2.450856846023277,8.0
13,0.445578231292517,0.44153264048612884,0.36046511627906974,0.5155555555555555,0.42857142857142855,0.46153846153846156,1.0,2.356154027873283,8.0
14,0.48089171974522293,0.4607108427793213,0.430939226519337,0.563265306122449,0.42758620689655175,0.42105263157894735,1.0,2.3458915720693767,8.0
15,0.5097402597402597,0.5036487522691614,0.5106382978723404,0.5575221238938053,0.4233576642335766,0.5230769230769231,1.0,2.3002828225408765,8.0
16,0.5102040816326531,0.4750240636308529,0.5408163265306123,0.56,0.43564356435643564,0.36363636363636365,1.0,2.3943924239241094,8.0
17,0.49666666666666665,0.471990437395589,0.4581005586592179,0.5929203539823009,0.42424242424242425,0.4126984126984127,1.0,2.2418893449691435,8.0
18,0.4923547400611621,0.4659012931430807,0.5137614678899083,0.5194805194805194,0.4755244755244755,0.3548387096774194,1.0,2.2671885363079767,8.0
19,0.47096774193548385,0.44810198932445017,0.5053763440860215,0.5086206896551724,0.4122137404580153,0.36619718309859156,1.0,2.4176812310973483,8.0
20,0.4844290657439446,0.4732257962588473,0.3953488372093023,0.591304347826087,0.375,0.53125,1.0,2.365404814339942,8.0
21,0.47183098591549294,0.4630471667367506,0.42105263157894735,0.5583756345177665,0.3783783783783784,0.4943820224719101,1.0,2.298794619516063,8.0
22,0.4033333333333333,0.3836889907707204,0.41935483870967744,0.44761904761904764,0.366412213740458,0.3013698630136986,1.0,2.3672619036057343,8.0
23,0.425,0.4197846638638799,0.40404040404040403,0.4641350210970464,0.3916083916083916,0.41935483870967744,1.0,2.299916510947514,8.0
24,0.4915254237288136,0.4648277274999716,0.4772727272727273,0.5446428571428571,0.4881889763779528,0.3492063492063492,1.0,2.322154465181974,8.0
25,0.5172413793103449,0.49655925798195083,0.5280898876404494,0.5570776255707762,0.4696969696969697,0.43137254901960786,1.0,2.3457138471048453,8.0
