resample,accuracy,macro_f1,class_f1_A,class_f1_B,class_f1_C,class_f1_D,parse_rate,mean_latency_seconds,mean_realized_tiles
0,0.48026315789473684,0.44329387900129824,0.35658914728682173,0.552901023890785,0.484375,0.3793103448275862,1.0,1.2717759837518985,5.723684210526316
1,0.5233333333333333,0.4654769338428144,0.5555555555555556,0.5938566552901023,0.38596491228070173,0.32653061224489793,1.0,1.2324036434137573,5.7
2,0.45364238410596025,0.38891956675782946,0.35555555555555557,0.5592105263157895,0.37168141592920356,0.2692307692307692,1.0,1.2391208021512983,5.731788079470198
3,0.4585987261146497,0.42850203036077145,0.35374149659863946,0.5296167247386759,0.47244094488188976,0.3582089552238806,1.0,1.2218917644386933,5.818471337579618
4,0.4472843450479233,0.362634737810233,0.34328358208955223,0.5942492012779552,0.3008849557522124,0.21212121212121213,1.0,1.2097876985905507,5.654952076677317
5,0.5162337662337663,0.4609017358630362,0.4264705882352941,0.6209150326797386,0.41025641025641024,0.38596491228070173,1.0,1.2254872874042333,5.746753246753247
6,0.45857988165680474,0.42495983491612943,0.45348837209302323,0.5048543689320388,0.40816326530612246,0.3333333333333333,1.0,1.1775486953528984,5.795857988165681
7,0.49063670411985016,0.44532244750554606,0.38,0.5787545787545788,0.4,0.4225352112676056,1.0,1.2091102290145133,5.775280898876405
8,0.4738675958188153,0.44409697060854253,0.45528455284552843,0.5434782608695652,0.3364485981308411,0.4411764705882353,1.0,1.2308576852440158,5.7177700348432055
9,0.5032894736842105,0.4575099227168212,0.4492753623188406,0.584717607973422,0.41509433962264153,0.38095238095238093,1.0,1.1980614859034846,5.5756578947368425
10,0.49019607843137253,0.4311018661151413,0.4195804195804196,0.6101694915254238,0.3364485981308411,0.3582089552238806,1.0,1.260142573937652,5.862745098039215
11,0.4657534246575342,0.45817515099223466,0.4,0.5,0.45901639344262296,0.47368421052631576,1.0,1.240828639428986,5.804794520547945
12,0.45364238410596025,0.39655928147416,0.37398373983739835,0.576271186440678,0.2975206611570248,0.3384615384615385,1.0,1.2795955038117552,5.781456953642384
13,0.47959183673469385,0.44129781700059056,0.3939393939393939,0.5652173913043478,0.43103448275862066,0.375,1.0,1.2416168712079525,5.663265306122449
14,0.4968152866242038,0.4445695685791866,0.3969465648854962,0.5923566878980892,0.4186046511627907,0.37037037037037035,1.0,1.2173774861493356,5.713375796178344
15,0.525974025974026,0.4950892857142857,0.5,0.6041666666666666,0.4,0.47619047619047616,1.0,1.2263404843790529,5.7272727272727275
16,0.5306122448979592,0.4789238727218267,0.5072463768115942,0.6081081081081081,0.4235294117647059,0.37681159420289856,1.0,1.260958363165838,5.663265306122449
17,0.49,0.468830629136097,0.38620689655172413,0.5848375451263538,0.34545454545454546,0.5588235294117647,1.0,1.2141695888433606,5.67
18,0.44648318042813456,0.4302788416594041,0.37267080745341613,0.5114754098360655,0.3779527559055118,0.45901639344262296,1.0,1.176999168088859,5.605504587155964
19,0.4645161290322581,0.4227797291702101,0.4264705882352941,0.528052805280528,0.4424778761061947,0.29411764705882354,1.0,1.2667782259684417,5.670967741935484
20,0.5190311418685121,0.474018946309968,0.4444444444444444,0.6175438596491228,0.37254901960784315,0.46153846153846156,1.0,1.2343547717542436,5.5432525951557095
21,0.45774647887323944,0.44505656941171756,0.34710743801652894,0.5057471264367817,0.4329896907216495,0.4943820224719101,1.0,1.2179936207240631,5.714788732394366
22,0.4633333333333333,0.4133967497660172,0.336,0.5714285714285714,0.41739130434782606,0.3287671232876712,1.0,1.2374092589505017,5.65
23,0.471875,0.42145898309531926,0.36363636363636365,0.5947712418300654,0.34146341463414637,0.38596491228070173,1.0,1.2083180149638792,5.68125
24,0.5254237288135594,0.4596102877869262,0.4462809917355372,0.6204620462046204,0.4716981132075472,0.3,1.0,1.2173503173830904,5.735593220338983
25,0.4896551724137931,0.4529751575151334,0.3816793893129771,0.5818181818181818,0.42735042735042733,0.42105263157894735,1.0,1.2607705781268406,5.834482758620689
26,0.4645161290322581,0.4247841435004197,0.44285714285714284,0.5403508771929825,0.3880597014925373,0.32786885245901637,1.0,1.2224229009761927,5.767741935483871
27,0.4634146341463415,0.3983081729010426,0.359375,0.5845070422535211,0.36363636363636365,0.2857142857142857,1.0,1.2414683254390229,5.853658536585366
28,0.5068027210884354,0.4690626418832912,0.453125,0.5878136200716846,0.42990654205607476,0.40540540540540543,1.0,1.2505326814391986,5.857142857142857
29,0.5031847133757962,0.46654190650457117,0.4492753623188406,0.5802047781569966,0.44274809160305345,0.3939393939393939,1.0,1.2494032909399622,5.761146496815287
30,0.5101351351351351,0.4912107566359767,0.4827586206896552,0.5594405594405595,0.3925233644859813,0.5301204819277109,1.0,1.2257935446466797,5.64527027027027
31,0.5066225165562914,0.46517021681813586,0.4094488188976378,0.5986394557823129,0.42592592592592593,0.4266666666666667,1.0,1.2486962546156535,5.552980132450331
32,0.4605263157894737,0.4039613239638101,0.32142857142857145,0.5483870967741935,0.4409448818897638,0.3050847457627119,1.0,1.2253678254170441,5.7631578947368425
33,0.5275080906148867,0.49442399998723807,0.5157232704402516,0.5971223021582733,0.42735042735042733,0.4375,1.0,1.202074358221686,5.70873786407767
34,0.5016722408026756,0.45379264107682465,0.3698630136986301,0.624113475177305,0.4144144144144144,0.4067796610169492,1.0,1.2023966007096611,5.648829431438127
35,0.5227272727272727,0.4857610922128419,0.42028985507246375,0.6202090592334495,0.448,0.45454545454545453,1.0,1.206639543408528,5.4935064935064934
36,0.48639455782312924,0.4156751983424772,0.3392857142857143,0.6006600660066007,0.43243243243243246,0.2903225806451613,1.0,1.2298455757000262,5.673469387755102
37,0.5134228187919463,0.4506038214295508,0.546583850931677,0.6028368794326241,0.2736842105263158,0.3793103448275862,1.0,1.251961604782674,5.748322147651007
38,0.531986531986532,0.49932336480723577,0.5142857142857142,0.5944055944055944,0.40860215053763443,0.48,1.0,1.2396004550936648,5.585858585858586
39,0.45426829268292684,0.40966648341579626,0.41025641025641024,0.5230769230769231,0.411214953271028,0.29411764705882354,1.0,1.2076961894565057,5.588414634146342
40,0.4664429530201342,0.43837528914729124,0.41379310344827586,0.5285714285714286,0.4230769230769231,0.3880597014925373,1.0,1.2219721172817501,5.667785234899329
41,0.49473684210526314,0.4643707415011086,0.4393939393939394,0.5693430656934306,0.3711340206185567,0.47761194029850745,1.0,1.2486531489348986,5.673684210526316
42,0.4583333333333333,0.40725329025035906,0.4217687074829932,0.5416666666666666,0.27848101265822783,0.3870967741935484,1.0,1.2411712906614412,5.822916666666667
