resample,accuracy_delta,macro_f1_delta,class_f1_A_delta,class_f1_B_delta,class_f1_C_delta,class_f1_D_delta,parse_rate_delta,mean_latency_seconds_delta,mean_realized_tiles_delta
0,0.05921052631578955,0.09062598654347281,0.2217294900221729,-0.049625246548323454,0.0377338031986989,0.15266589950134252,0.006578947368421018,0.1347894050321835,0.0
1,0.026666666666666672,0.08454435630217327,0.11688311688311687,-0.19150311881941273,0.18590667084246787,0.226890756302521,0.00666666666666671,0.1361391299280028,0.0
2,0.01655629139072845,0.047454800228749316,0.21553325901151993,-0.15153508771929824,0.027313566936208455,0.09850746268656713,0.0066225165562914245,0.13071257099570932,0.0
3,0.14649681528662417,0.16762243976597435,0.32232863849765264,-0.02433184494920082,0.13946233599412794,0.2330306295213176,0.0031847133757961776,0.1509565259122354,0.0
4,0.04792332268370608,0.1266938375085735,0.20070945388549744,-0.13167670950425714,0.20238095238095238,0.23536165327210107,0.006389776357827448,0.11500464436916491,0.0
5,-0.019480519480519487,0.029754767067580845,0.09717987804878048,-0.15000000000000002,0.04278074866310161,0.12905844155844154,0.00649350649350644,0.12885093461274622,0.0
6,0.14201183431952658,0.14108070629776281,0.2566794344351444,-0.12778689716790992,0.2548148148148148,0.180615473109002,0.00591715976331364,0.12310908493426065,0.0
7,0.07490636704119846,0.1193034684028858,0.2625987822256769,-0.06962025316455694,0.1672918229557389,0.11694352159468435,0.0037453183520599342,0.13701928288707244,0.0
8,0.010452961672473893,0.030070853274227705,0.13971291866028707,-0.19498531119764984,0.10505352252925065,0.07050228310502288,0.0034843205574912606,0.1331395051094868,0.0
9,0.03618421052631582,0.10571480462749844,0.14315068493150684,-0.16709192972224252,0.18530792598729634,0.2614925373134329,0.0,0.12022572527884645,0.0
10,0.05555555555555558,0.10003389658715078,0.24166391548365795,-0.17941544139532112,0.18040386579712425,0.1574832464631422,0.013071895424836555,0.1493396948797786,0.0
11,0.10616438356164387,0.09420606091943262,0.2604236343366778,-0.036523485197948624,0.06312817617165445,0.0897959183673469,0.0,0.14101667580041688,0.0
12,0.02649006622516553,0.08819838486825654,0.12071872044734999,-0.18637586744087242,0.18925734459715043,0.2291933418693982,0.0066225165562914245,0.15944724820171863,0.0
13,0.09183673469387754,0.11541153125059567,0.32962213225371123,-0.14100346020761245,0.08317238049251569,0.1898550724637681,0.003401360544217691,0.11591373257288329,0.0
14,0.06369426751592355,0.12782703219588848,0.14157384117858424,-0.14353866317169073,0.24925224327018947,0.26402070750647105,0.0031847133757961776,0.10644085375164991,0.0
15,0.016233766233766267,0.044822802859427135,0.13279132791327913,-0.20645161290322583,0.16732698739387708,0.08562450903377844,0.0032467532467532756,0.121685001578835,0.0
16,0.030612244897959162,0.08236195314052319,0.15125152625152632,-0.13938105362626985,0.09587191358024694,0.22170542635658913,0.0,0.15500900890285363,0.0
17,0.006666666666666654,0.05687482473243588,0.12424242424242421,-0.23028507960014816,0.14817610062893088,0.18536585365853653,0.0,0.12024404989865911,0.0
18,0.006116207951070374,0.019010783971942835,0.07449350649350645,-0.2190476190476191,0.14054203795189069,0.08005521048999314,0.003058103975535187,0.12091772193345451,0.0
19,0.07741935483870965,0.11152965779049595,0.22060387856967517,-0.037037037037037035,0.14045876637353177,0.12209302325581395,0.006451612903225823,0.1372573315766792,0.0
20,-0.031141868512110704,0.03140973715717976,0.19114992437917744,-0.2600118835412953,0.08609556607834695,0.10840534171249017,0.0034602076124568004,0.14476125328688783,0.0
21,0.07746478873239437,0.10028216502696563,0.20115886045388698,-0.07755474452554745,0.1706404862085087,0.10688405797101447,0.0,0.14553541543526238,0.0
22,0.10999999999999999,0.15954507565531578,0.260731319554849,-0.13051295610787944,0.22271849348140993,0.28524344569288385,0.0,0.12666975162302463,0.0
23,0.021875000000000033,0.059146585680888486,0.22743055555555558,-0.15860874585077217,0.0810734463276836,0.08669108669108672,0.0031250000000000444,0.12308421016205096,0.0
24,0.037288135593220306,0.10144182933878948,0.2060470324748041,-0.1522917137051253,0.09265370981542598,0.25935828877005346,0.0,0.15169746617518243,0.0
25,0.11379310344827587,0.16138365104906383,0.23825841564200761,-0.07174657534246576,0.24747196175767605,0.23155080213903745,0.0034482758620689724,0.13527361725553355,0.0
26,0.1225806451612903,0.15748590486050912,0.27927120669056155,-0.08614460276864372,0.21786276715410574,0.21895424836601307,0.0,0.14499461373855027,0.0
27,0.0662020905923345,0.118308578004171,0.17926117444274692,-0.09122945257950843,0.18860244233378565,0.19660014781966,0.006968641114982632,0.14763357538003008,0.0
28,0.108843537414966,0.1569483226182662,0.178967659027629,-0.0581090834106609,0.23687600644122386,0.2700587084148728,0.010204081632653073,0.15433542927739785,0.0
