parameter_name,delta_norm,changed
base_model.model.language_model.model.layers.8.self_attn.k_proj.lora_A.default.weight,0.07692354917526245,True
base_model.model.language_model.model.layers.8.self_attn.k_proj.lora_B.default.weight,0.030634786933660507,True
base_model.model.language_model.model.layers.8.self_attn.v_proj.lora_A.default.weight,0.11823540180921555,True
base_model.model.language_model.model.layers.8.self_attn.v_proj.lora_B.default.weight,0.037451013922691345,True
base_model.model.language_model.model.layers.8.self_attn.o_proj.lora_A.default.weight,0.13200247287750244,True
base_model.model.language_model.model.layers.8.self_attn.o_proj.lora_B.default.weight,0.09573294967412949,True
base_model.model.language_model.model.layers.9.self_attn.q_proj.lora_A.default.weight,0.10368099808692932,True
base_model.model.language_model.model.layers.9.self_attn.q_proj.lora_B.default.weight,0.08473960310220718,True
base_model.model.language_model.model.layers.9.self_attn.k_proj.lora_A.default.weight,0.07695788145065308,True
base_model.model.language_model.model.layers.9.self_attn.k_proj.lora_B.default.weight,0.03238319605588913,True
base_model.model.language_model.model.layers.9.self_attn.v_proj.lora_A.default.weight,0.11932599544525146,True
base_model.model.language_model.model.layers.9.self_attn.v_proj.lora_B.default.weight,0.037645719945430756,True
base_model.model.language_model.model.layers.9.self_attn.o_proj.lora_A.default.weight,0.12172926962375641,True
base_model.model.language_model.model.layers.9.self_attn.o_proj.lora_B.default.weight,0.09360384196043015,True
base_model.model.language_model.model.layers.10.self_attn.q_proj.lora_A.default.weight,0.09114502370357513,True
base_model.model.language_model.model.layers.10.self_attn.q_proj.lora_B.default.weight,0.08587989211082458,True
base_model.model.language_model.model.layers.10.self_attn.k_proj.lora_A.default.weight,0.06106230244040489,True
base_model.model.language_model.model.layers.10.self_attn.k_proj.lora_B.default.weight,0.029951490461826324,True
base_model.model.language_model.model.layers.10.self_attn.v_proj.lora_A.default.weight,0.10674858093261719,True
base_model.model.language_model.model.layers.10.self_attn.v_proj.lora_B.default.weight,0.03497769311070442,True
base_model.model.language_model.model.layers.10.self_attn.o_proj.lora_A.default.weight,0.12756076455116272,True
base_model.model.language_model.model.layers.10.self_attn.o_proj.lora_B.default.weight,0.09570096433162689,True
base_model.model.language_model.model.layers.11.self_attn.q_proj.lora_A.default.weight,0.10477269440889359,True
base_model.model.language_model.model.layers.11.self_attn.q_proj.lora_B.default.weight,0.08590008318424225,True
base_model.model.language_model.model.layers.11.self_attn.k_proj.lora_A.default.weight,0.09495479613542557,True
base_model.model.language_model.model.layers.11.self_attn.k_proj.lora_B.default.weight,0.03452526032924652,True
base_model.model.language_model.model.layers.11.self_attn.v_proj.lora_A.default.weight,0.11260657757520676,True
base_model.model.language_model.model.layers.11.self_attn.v_proj.lora_B.default.weight,0.035281576216220856,True
base_model.model.language_model.model.layers.11.self_attn.o_proj.lora_A.default.weight,0.1267486810684204,True
base_model.model.language_model.model.layers.11.self_attn.o_proj.lora_B.default.weight,0.09656192362308502,True
base_model.model.language_model.model.layers.12.self_attn.q_proj.lora_A.default.weight,0.1063232496380806,True
base_model.model.language_model.model.layers.12.self_attn.q_proj.lora_B.default.weight,0.0902041494846344,True
base_model.model.language_model.model.layers.12.self_attn.k_proj.lora_A.default.weight,0.08619626611471176,True
base_model.model.language_model.model.layers.12.self_attn.k_proj.lora_B.default.weight,0.0395539216697216,True
base_model.model.language_model.model.layers.12.self_attn.v_proj.lora_A.default.weight,0.11188717931509018,True
base_model.model.language_model.model.layers.12.self_attn.v_proj.lora_B.default.weight,0.03948648273944855,True
base_model.model.language_model.model.layers.12.self_attn.o_proj.lora_A.default.weight,0.12596936523914337,True
base_model.model.language_model.model.layers.12.self_attn.o_proj.lora_B.default.weight,0.09614618867635727,True
base_model.model.language_model.model.layers.13.self_attn.q_proj.lora_A.default.weight,0.10922712832689285,True
base_model.model.language_model.model.layers.13.self_attn.q_proj.lora_B.default.weight,0.09239713102579117,True
base_model.model.language_model.model.layers.13.self_attn.k_proj.lora_A.default.weight,0.07508911937475204,True
base_model.model.language_model.model.layers.13.self_attn.k_proj.lora_B.default.weight,0.0320034958422184,True
base_model.model.language_model.model.layers.13.self_attn.v_proj.lora_A.default.weight,0.11376684904098511,True
base_model.model.language_model.model.layers.13.self_attn.v_proj.lora_B.default.weight,0.0380873940885067,True
base_model.model.language_model.model.layers.13.self_attn.o_proj.lora_A.default.weight,0.12292954325675964,True
base_model.model.language_model.model.layers.13.self_attn.o_proj.lora_B.default.weight,0.09488075971603394,True
base_model.model.language_model.model.layers.14.self_attn.q_proj.lora_A.default.weight,0.1179816722869873,True
base_model.model.language_model.model.layers.14.self_attn.q_proj.lora_B.default.weight,0.09495805948972702,True
base_model.model.language_model.model.layers.14.self_attn.k_proj.lora_A.default.weight,0.08916658908128738,True
base_model.model.language_model.model.layers.14.self_attn.k_proj.lora_B.default.weight,0.033852607011795044,True
base_model.model.language_model.model.layers.14.self_attn.v_proj.lora_A.default.weight,0.11904981732368469,True
base_model.model.language_model.model.layers.14.self_attn.v_proj.lora_B.default.weight,0.03852938115596771,True
base_model.model.language_model.model.layers.14.self_attn.o_proj.lora_A.default.weight,0.1309075504541397,True
base_model.model.language_model.model.layers.14.self_attn.o_proj.lora_B.default.weight,0.09929725527763367,True
base_model.model.language_model.model.layers.15.self_attn.q_proj.lora_A.default.weight,0.10683049261569977,True
base_model.model.language_model.model.layers.15.self_attn.q_proj.lora_B.default.weight,0.08249431848526001,True
base_model.model.language_model.model.layers.15.self_attn.k_proj.lora_A.default.weight,0.08341018110513687,True
base_model.model.language_model.model.layers.15.self_attn.k_proj.lora_B.default.weight,0.033369142562150955,True
base_model.model.language_model.model.layers.15.self_attn.v_proj.lora_A.default.weight,0.12399735301733017,True
base_model.model.language_model.model.layers.15.self_attn.v_proj.lora_B.default.weight,0.039687927812337875,True
base_model.model.language_model.model.layers.15.self_attn.o_proj.lora_A.default.weight,0.13092313706874847,True
base_model.model.language_model.model.layers.15.self_attn.o_proj.lora_B.default.weight,0.1035105437040329,True
base_model.model.language_model.model.layers.16.self_attn.q_proj.lora_A.default.weight,0.08970128744840622,True
base_model.model.language_model.model.layers.16.self_attn.q_proj.lora_B.default.weight,0.0807081013917923,True
base_model.model.language_model.model.layers.16.self_attn.k_proj.lora_A.default.weight,0.07982388883829117,True
base_model.model.language_model.model.layers.16.self_attn.k_proj.lora_B.default.weight,0.03267375007271767,True
base_model.model.language_model.model.layers.16.self_attn.v_proj.lora_A.default.weight,0.1304250955581665,True
base_model.model.language_model.model.layers.16.self_attn.v_proj.lora_B.default.weight,0.04709485173225403,True
base_model.model.language_model.model.layers.16.self_attn.o_proj.lora_A.default.weight,0.1194143295288086,True
base_model.model.language_model.model.layers.16.self_attn.o_proj.lora_B.default.weight,0.09423711150884628,True
base_model.model.language_model.model.layers.17.self_attn.q_proj.lora_A.default.weight,0.11456706374883652,True
base_model.model.language_model.model.layers.17.self_attn.q_proj.lora_B.default.weight,0.09441456943750381,True
base_model.model.language_model.model.layers.17.self_attn.k_proj.lora_A.default.weight,0.10926791280508041,True
base_model.model.language_model.model.layers.17.self_attn.k_proj.lora_B.default.weight,0.03870377689599991,True
base_model.model.language_model.model.layers.17.self_attn.v_proj.lora_A.default.weight,0.12821823358535767,True
base_model.model.language_model.model.layers.17.self_attn.v_proj.lora_B.default.weight,0.04368026927113533,True
base_model.model.language_model.model.layers.17.self_attn.o_proj.lora_A.default.weight,0.137376606464386,True
base_model.model.language_model.model.layers.17.self_attn.o_proj.lora_B.default.weight,0.1180986538529396,True
base_model.model.language_model.model.layers.18.self_attn.q_proj.lora_A.default.weight,0.1192522943019867,True
base_model.model.language_model.model.layers.18.self_attn.q_proj.lora_B.default.weight,0.0986773893237114,True
base_model.model.language_model.model.layers.18.self_attn.k_proj.lora_A.default.weight,0.1057988628745079,True
base_model.model.language_model.model.layers.18.self_attn.k_proj.lora_B.default.weight,0.04136699065566063,True
base_model.model.language_model.model.layers.18.self_attn.v_proj.lora_A.default.weight,0.12922990322113037,True
base_model.model.language_model.model.layers.18.self_attn.v_proj.lora_B.default.weight,0.04158360883593559,True
base_model.model.language_model.model.layers.18.self_attn.o_proj.lora_A.default.weight,0.1274026781320572,True
base_model.model.language_model.model.layers.18.self_attn.o_proj.lora_B.default.weight,0.10965660214424133,True
base_model.model.language_model.model.layers.19.self_attn.q_proj.lora_A.default.weight,0.1232723668217659,True
base_model.model.language_model.model.layers.19.self_attn.q_proj.lora_B.default.weight,0.10205315053462982,True
base_model.model.language_model.model.layers.19.self_attn.k_proj.lora_A.default.weight,0.10744251310825348,True
base_model.model.language_model.model.layers.19.self_attn.k_proj.lora_B.default.weight,0.04152586683630943,True
base_model.model.language_model.model.layers.19.self_attn.v_proj.lora_A.default.weight,0.125447079539299,True
base_model.model.language_model.model.layers.19.self_attn.v_proj.lora_B.default.weight,0.04583003371953964,True
base_model.model.language_model.model.layers.19.self_attn.o_proj.lora_A.default.weight,0.12959446012973785,True
base_model.model.language_model.model.layers.19.self_attn.o_proj.lora_B.default.weight,0.11703738570213318,True
base_model.model.language_model.model.layers.20.self_attn.q_proj.lora_A.default.weight,0.0942562073469162,True
base_model.model.language_model.model.layers.20.self_attn.q_proj.lora_B.default.weight,0.08576459437608719,True
base_model.model.language_model.model.layers.20.self_attn.k_proj.lora_A.default.weight,0.06822774559259415,True
base_model.model.language_model.model.layers.20.self_attn.k_proj.lora_B.default.weight,0.031902920454740524,True
base_model.model.language_model.model.layers.20.self_attn.v_proj.lora_A.default.weight,0.1179410070180893,True
base_model.model.language_model.model.layers.20.self_attn.v_proj.lora_B.default.weight,0.04309489578008652,True
base_model.model.language_model.model.layers.20.self_attn.o_proj.lora_A.default.weight,0.1353348046541214,True
base_model.model.language_model.model.layers.20.self_attn.o_proj.lora_B.default.weight,0.11417865753173828,True
base_model.model.language_model.model.layers.21.self_attn.q_proj.lora_A.default.weight,0.1097184345126152,True
base_model.model.language_model.model.layers.21.self_attn.q_proj.lora_B.default.weight,0.08446227759122849,True
base_model.model.language_model.model.layers.21.self_attn.k_proj.lora_A.default.weight,0.0830855518579483,True
base_model.model.language_model.model.layers.21.self_attn.k_proj.lora_B.default.weight,0.03308810666203499,True
base_model.model.language_model.model.layers.21.self_attn.v_proj.lora_A.default.weight,0.13337787985801697,True
base_model.model.language_model.model.layers.21.self_attn.v_proj.lora_B.default.weight,0.044460881501436234,True
base_model.model.language_model.model.layers.21.self_attn.o_proj.lora_A.default.weight,0.12912318110466003,True
base_model.model.language_model.model.layers.21.self_attn.o_proj.lora_B.default.weight,0.11701112240552902,True
base_model.model.language_model.model.layers.22.self_attn.q_proj.lora_A.default.weight,0.11510419100522995,True
base_model.model.language_model.model.layers.22.self_attn.q_proj.lora_B.default.weight,0.09260452538728714,True
base_model.model.language_model.model.layers.22.self_attn.k_proj.lora_A.default.weight,0.08731181919574738,True
base_model.model.language_model.model.layers.22.self_attn.k_proj.lora_B.default.weight,0.03386876732110977,True
base_model.model.language_model.model.layers.22.self_attn.v_proj.lora_A.default.weight,0.13296936452388763,True
base_model.model.language_model.model.layers.22.self_attn.v_proj.lora_B.default.weight,0.04187236353754997,True
base_model.model.language_model.model.layers.22.self_attn.o_proj.lora_A.default.weight,0.1221059262752533,True
base_model.model.language_model.model.layers.22.self_attn.o_proj.lora_B.default.weight,0.11088629066944122,True
base_model.model.language_model.model.layers.23.self_attn.q_proj.lora_A.default.weight,0.10895480215549469,True
base_model.model.language_model.model.layers.23.self_attn.q_proj.lora_B.default.weight,0.08676165342330933,True
base_model.model.language_model.model.layers.23.self_attn.k_proj.lora_A.default.weight,0.08511635661125183,True
base_model.model.language_model.model.layers.23.self_attn.k_proj.lora_B.default.weight,0.03265201672911644,True
base_model.model.language_model.model.layers.23.self_attn.v_proj.lora_A.default.weight,0.121966153383255,True
base_model.model.language_model.model.layers.23.self_attn.v_proj.lora_B.default.weight,0.046162642538547516,True
base_model.model.language_model.model.layers.23.self_attn.o_proj.lora_A.default.weight,0.12493801862001419,True
base_model.model.language_model.model.layers.23.self_attn.o_proj.lora_B.default.weight,0.10919172316789627,True
