rank,alpha,locked_step,accuracy,macro_f1,parse_rate,trainable_parameters,peak_vram_gib,reused_phase06a_04,inference_duration_seconds,training_duration_seconds
8,16,16,0.4563758389261745,0.4277137042383399,1.0,1081344,17.80419683456421,False,297.6983309024945,319.7205369193107
16,32,8,0.46308724832214765,0.43838087493166267,1.0,2162688,17.82562017440796,True,291.4633194813505,158.73740977980196
32,64,64,0.5302013422818792,0.5140569172652879,1.0,4325376,18.002898693084717,False,298.06937181856483,1329.7185621438548
64,128,80,0.5,0.4960228470340259,1.0,8650752,18.088683605194092,False,334.2381678847596,1678.3734016017988
