epoch,optimizer_step,unscaled_loss,gradient_norm,learning_rate,accumulated_sample_ids,accumulated_micro_batches,inner_dev_accuracy,inner_dev_macro_f1
1,19,0.1796886920928955,1.4016717672348022,8.859649122807017e-05,"[""train_1101"", ""train_0968"", ""train_1200"", ""train_0882"", ""train_1267"", ""train_0862"", ""train_0009"", ""train_1479"", ""train_0619"", ""train_1152"", ""train_1319"", ""train_0509"", ""train_1142"", ""train_1462"", ""train_1114"", ""train_1002""]",16,,
1,20,0.5468758940696716,2.228548765182495,8.771929824561403e-05,"[""train_1057"", ""train_0007"", ""train_0202"", ""train_1228"", ""train_0336"", ""train_0863"", ""train_0942"", ""train_0454"", ""train_0881"", ""train_1099"", ""train_0375"", ""train_0224"", ""train_0851"", ""train_0296"", ""train_0414"", ""train_0690""]",16,,
1,21,0.8437537550926208,1.8195244073867798,8.68421052631579e-05,"[""train_1046"", ""train_0170"", ""train_0139"", ""train_0706"", ""train_0517"", ""train_0423"", ""train_1062"", ""train_1369"", ""train_0362"", ""train_1028"", ""train_0430"", ""train_0800"", ""train_0252"", ""train_1117"", ""train_0494"", ""train_1068""]",16,,
1,22,0.5195326805114746,2.622905969619751,8.596491228070177e-05,"[""train_0712"", ""train_0493"", ""train_1229"", ""train_0693"", ""train_1093"", ""train_0636"", ""train_1380"", ""train_0601"", ""train_1175"", ""train_1478"", ""train_0424"", ""train_0796"", ""train_1246"", ""train_0020"", ""train_0998"", ""train_0906""]",16,,
1,23,0.6679700016975403,3.096220016479492,8.508771929824562e-05,"[""train_0317"", ""train_1343"", ""train_1287"", ""train_1411"", ""train_1126"", ""train_0526"", ""train_0004"", ""train_0617"", ""train_1320"", ""train_1425"", ""train_0919"", ""train_0827"", ""train_0689"", ""train_0122"", ""train_0554"", ""train_0905""]",16,,
1,24,1.0625019073486328,1.837430715560913,8.421052631578948e-05,"[""train_0294"", ""train_0971"", ""train_0331"", ""train_0198"", ""train_0768"", ""train_0349"", ""train_0253"", ""train_0523"", ""train_1183"", ""train_1179"", ""train_0460"", ""train_1428"", ""train_0425"", ""train_0679"", ""train_0549"", ""train_1111""]",16,0.4730290456431535,0.4212565567660986
1,25,0.42187702655792236,2.2935116291046143,8.333333333333334e-05,"[""train_0752"", ""train_1209"", ""train_1354"", ""train_0972"", ""train_1275"", ""train_0651"", ""train_0562"", ""train_0026"", ""train_0964"", ""train_1001"", ""train_0930"", ""train_0348"", ""train_0757"", ""train_1084"", ""train_1066"", ""train_0846""]",16,,
1,26,0.3398441672325134,2.8757174015045166,8.24561403508772e-05,"[""train_0330"", ""train_0750"", ""train_1245"", ""train_0473"", ""train_0048"", ""train_1031"", ""train_0363"", ""train_0187"", ""train_0109"", ""train_0724"", ""train_0049"", ""train_0038"", ""train_0718"", ""train_0640"", ""train_1473"", ""train_0513""]",16,,
1,27,0.2675788998603821,1.8781999349594116,8.157894736842105e-05,"[""train_0884"", ""train_0579"", ""train_1285"", ""train_0197"", ""train_0583"", ""train_0090"", ""train_0532"", ""train_0361"", ""train_0543"", ""train_1458"", ""train_0238"", ""train_0458"", ""train_0575"", ""train_1017"", ""train_0901"", ""train_0673""]",16,,
1,28,0.45508068799972534,2.8443045616149902,8.070175438596491e-05,"[""train_1412"", ""train_1434"", ""train_1090"", ""train_1391"", ""train_0635"", ""train_0577"", ""train_0510"", ""train_0898"", ""train_0457"", ""train_0719"", ""train_0069"", ""train_0770"", ""train_0393"", ""train_1264"", ""train_0462"", ""train_0125""]",16,,
1,29,0.412109911441803,2.5700154304504395,7.982456140350878e-05,"[""train_1451"", ""train_1450"", ""train_0838"", ""train_1193"", ""train_1218"", ""train_0295"", ""train_0292"", ""train_0797"", ""train_1155"", ""train_0367"", ""train_1133"", ""train_0165"", ""train_0354"", ""train_0505"", ""train_0592"", ""train_0996""]",16,,
1,30,0.7382818460464478,2.3804028034210205,7.894736842105263e-05,"[""train_0856"", ""train_0265"", ""train_0985"", ""train_1438"", ""train_1216"", ""train_0010"", ""train_1100"", ""train_0174"", ""train_1325"", ""train_0720"", ""train_0127"", ""train_1244"", ""train_0891"", ""train_1469"", ""train_0826"", ""train_0409""]",16,,
1,31,0.3046879768371582,2.055386543273926,7.807017543859649e-05,"[""train_0956"", ""train_0902"", ""train_0990"", ""train_0074"", ""train_0108"", ""train_0173"", ""train_0764"", ""train_0638"", ""train_0448"", ""train_1489"", ""train_0124"", ""train_0218"", ""train_1347"", ""train_0399"", ""train_1429"", ""train_0993""]",16,,
1,32,0.9414075016975403,2.678508758544922,7.719298245614036e-05,"[""train_1488"", ""train_1310"", ""train_0798"", ""train_0584"", ""train_0953"", ""train_1403"", ""train_0639"", ""train_0954"", ""train_1000"", ""train_1045"", ""train_0392"", ""train_0406"", ""train_0725"", ""train_1172"", ""train_0653"", ""train_1289""]",16,0.5020746887966805,0.4564697965501855
